"pronoun"	"verb"	"context"	"filename"
"13946"	"she"	"returned"	" Moments later, she returned, a stricken look on her face, and turned to my husband and me. ``I don't know how to tell you, but I ... well, when I was backing out of the garage, I forgot your car was parked in the driveway and I hit it.'' </P> "	"nyt_eng_199502.gz"
"21785"	"I"	"returned"	" I had come to New England as a college student, and after a few years in old England and New York City, I returned, with my young family, as an experiment. </P> "	"nyt_eng_199505.gz"
"21786"	"I"	"returned"	" I had come to New England as a college student, and after a few years in old England and New York City, I returned, with my young family, as an experiment. </P> "	"nyt_eng_199505.gz"
"21884"	"I"	"returned"	" I had come to New England as a college student, and after a few years in old England and New York City, I returned, with my young family, as an experiment. </P> "	"nyt_eng_199505.gz"
"21885"	"I"	"returned"	" I had come to New England as a college student, and after a few years in old England and New York City, I returned, with my young family, as an experiment. </P> "	"nyt_eng_199505.gz"
"50063"	"he"	"returned"	" Lamar Alexander, whose campaign is strapped for cash, has been focusing mostly on the Southern primaries. But in the final days of the Arizona contest, he returned, and ran a series of advertisements that pounded at Dole. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960227.0728 type=story > <HEADLINE> EMPIRE BLUE CROSS REDUCES LOSSES AND ADDS TO RESERVES </HEADLINE> <DATELINE>  (BC-NY-EMPIRE-BLUECROSS-NYT) </DATELINE> <TEXT> "	"nyt_eng_199602.gz"
"51731"	"they"	"returned"	" Landesman confirmed the account, adding that after he refused their request, they returned, bearing a new incentive. ``Natalie Lloyd said, `David Merrick is here with a blank check,' '' Landesman said. ``His assumption was, he was David Merrick, and he should have his way. I said no.'' </P> "	"nyt_eng_199603.gz"
"53910"	"they"	"returned"	" My husband and oldest son played an April Fool's prank on me _ once. They went out for a morning jog while I stayed at home. A bit later, they returned, my husband carrying our son in his arms as the boy sobbed and cried in pain. Horror-stricken, I ran to their aid, yelling, ``What happened? Is he OK?'' </P> "	"nyt_eng_199604.gz"
"53972"	"they"	"returned"	" My husband and oldest son played an April Fool's prank on me _ once. They went out for a morning jog while I stayed at home. A bit later, they returned, my husband carrying our son in his arms as the boy sobbed and cried in pain. Horror-stricken, I ran to their aid, yelling, ``What happened? Is he OK?'' </P> "	"nyt_eng_199604.gz"
"89066"	"I"	"returned"	" A few weeks later, feeling that I hadn't given the Novotel a proper chance, I returned, this time alone. The front desk could now give rates, and the previous estimate wasn't too far off: for my wife and me and two children the base rate would have been $227; a standard double is $151, but children 3 or older cost an additional $38 each. </P> "	"nyt_eng_200007.gz"
"99780"	"he"	"returned"	" Later that year, Anderson said, Mohamed announced that _ contrary to all Army regulations _ he intended to go on vacation to Afghanistan to join the Islamic guerrillas in their civil war against the Soviets. A month later, he returned, boasting that he had killed two Soviet soldiers and giving away as souvenirs what he claimed were their uniform belts. </P> "	"nyt_eng_200111.gz"
"111934"	"they"	"returned"	" Last night, they returned, again with 44 victories and four more games to joust with Utah for the No. 7 seed. </P> "	"nyt_eng_200204.gz"
"115722"	"she"	"returned"	" At the same time, co-star Gillian Anderson announced in an interview that ``X-Files'' would not return for an eighth season. Oops. It continued, she returned, and Robert Patrick stepped in as new FBI partner John Doggett to fill the gap left by Duchovny. This year, Anderson's role has been limited, with much of the FBI legwork being done by agent Monica Reyes (Annabeth Gish). </P> "	"nyt_eng_200205.gz"
"127113"	"he"	"returned"	" In the late '50s and '60s, Gorshin had a popular nightclub act. But it wasn't until the success of ``Batman'' that he became truly in demand, frequently working at Las Vegas hotels. His impressions also helped him to win his current role. After playing George Burns in a movie that was never released, Gorshin added Burns to his gallery of impressions. When William Franzblau, the executive producer of ``Say Goodnight Gracie,'' saw him do the imitation onstage, he returned, this time bringing along Holmes, the author of the Tony Award-winning musical ``The Mystery of Edwin Drood.'' </P> "	"nyt_eng_200210.gz"
"159194"	"they"	"returned"	" Last fall, a Russian hunter emerged from the forests of southern Sakhalin with a tale of finding English words finger-painted into crumbling cement. Could it be the remains of a long-lost Japanese camp that once held American and British prisoners of war? A search party bounced off in four-wheel-drive vehicles. A few days later, they returned, empty handed. Once again, it seemed, Sakhalin's wilderness had won, swallowing up an entire prison camp. </P> "	"nyt_eng_200510.gz"
"167087"	"he"	"returned"	" Machado, in pain from a flare-up of chronic kidney stones, within seconds sprang from the wooden shack, suffering hot flashes, nausea, and stomach aches. Ten minutes later, he returned, expressing surprise. </P> "	"nyt_eng_200605.gz"
