"pronoun"	"verb"	"context"	"filename"
"6445"	"he"	"maintains"	" One of Damien's fellow boarders (Denis O'Hare), a nasty piece of Cockney goods, goads him unrelentingly, but Damien steadfastly refuses to dispel any suspicions about his political allegiances. To do otherwise, he maintains, would be to buy into a corrupt system that holds an Irishman guilty until proven innocent, not just of terrorism but of shiftlessness and drunkenness as well. The climate in the boardinghouse grows increasingly poisonous and the threat of violence mounts. </P> "	"nyt_eng_199410.gz"
"6975"	"he"	"maintains"	" Feder suggests that the work was never meant to be completed, that its conceptual grandiosity (to the point, he maintains, of calculated unperformability) was a compensation for the composer's waning powers of fabrication. That may very well be: over the decade that followed the main body of work on the sketches, entered mainly between 1911 and 1915, Ives's creativity did gradually dry up. </P> "	"nyt_eng_199410.gz"
"8257"	"she"	"maintains"	" The effect is much the same as the Bankers Trust deposit, she maintains, but at a lower cost. She need pay only a regular brokerage commission on the option. </P> "	"nyt_eng_199411.gz"
"8300"	"she"	"maintains"	" The effect is much the same as the Bankers Trust deposit, she maintains, but at a lower cost. She need pay only a regular brokerage commission on the option. </P> "	"nyt_eng_199411.gz"
"13608"	"she"	"maintains"	" Their choices among the three geometric shapes of circles, squares and triangles give her insight to their tastes, she maintains, even to the point of choosing their green plants. (Triangle people get cactus.) </P> "	"nyt_eng_199501.gz"
"16089"	"she"	"maintains"	" The press, she maintains, was ``ridiculously unfair'' over the years to D'Amato, who was criticized by the Senate Ethics Committee for misusing his office. ``He was an Italian kid from Long Island who spoke funny and who didn't socialize with the right people, who didn't have the right background that they perceived a senator should,'' she said. ``But over time, we showed them, huh?'' </P> "	"nyt_eng_199503.gz"
"16660"	"he"	"maintains"	" ``For a long time the debate was whether or not television violence contributes in any way to violence in our society,'' he said. But that, he maintains, is no longer the case. </P> "	"nyt_eng_199503.gz"
"17314"	"she"	"maintains"	" Portia K. Maultsby, an ethnomusicologist, examines the cultural and social dynamics of rap at the University of Missouri-Kansas City. To understand rap, she maintains, it's necessary to separate the music from its marketing. </P> "	"nyt_eng_199503.gz"
"20126"	"it"	"maintains"	" Morgan Stanley says it did no wrong. It never acted as a financial adviser to the state, it maintains, serving instead simply as a middleman executing the state's trades. If any speculation took place, the firm argues in its court papers, it is the state that is liable. </P> "	"nyt_eng_199504.gz"
"24262"	"he"	"maintains"	" The income tax, he maintains, is complicated and unfair and ``has not kept pace with the economic realities of the modern global marketplace.'' </P> "	"nyt_eng_199506.gz"
"24616"	"he"	"maintains"	" But he rejects the notion that he is liberal comedian. His view, he maintains, belongs neither to the right nor the left. </P> "	"nyt_eng_199506.gz"
