"pronoun"	"verb"	"context"	"filename"
"5278"	"she"	"suspects"	" Ms. Dawson, who lives in a 20-unit building in Mott Haven where half the apartments are empty, said she would like her building to be sold to its tenants. A private landlord, she suspects, would find new tenants and raise the rents. </P> "	"nyt_eng_199409.gz"
"5812"	"he"	"suspects"	" Prager, incidentally, was pornography's defender. That will surprise some, he suspects, who see him as either a conservative or a religious man. Both labels are accurate to a point but prove too limiting. </P> "	"nyt_eng_199410.gz"
"14362"	"she"	"suspects"	" Recently, Mrs. Pryor, who has been caring for their daughter, began looking for a counseling job. She has found nothing, at any wage. The rub, she suspects, is their education. Only 13 percent of Onslow County's population of 150,000 have two years of college or more. </P> "	"nyt_eng_199502.gz"
"26281"	"he"	"suspects"	" Among them: a clique of four older African-American women, led by Harris, ostracized another black woman, Tracy Hampton (who was hospitalized a day after she was dismissed from the jury), because, he suspects, she was attractive and ``sounded white.'' </P> "	"nyt_eng_199506.gz"
"26376"	"he"	"suspects"	" Among them: a clique of four older African-American women, led by Harris, ostracized another black woman, Tracy Hampton (who was hospitalized a day after she was dismissed from the jury), because, he suspects, she was attractive and ``sounded white.'' </P> "	"nyt_eng_199506.gz"
"35060"	"he"	"suspects"	" His social and political beliefs, he suspects, stem from his Chicago youth, ``from the enlightened socialism of my Swedish background and the Middle Western populistic approach.'' So does his adoration of everything American and urban. </P> "	"nyt_eng_199509.gz"
"35062"	"he"	"suspects"	" His social and political beliefs, he suspects, stem from his Chicago youth, ``from the enlightened socialism of my Swedish background and the Middle Western populistic approach.'' So does his adoration of everything American and urban. </P> "	"nyt_eng_199509.gz"
"67121"	"he"	"suspects"	" Randy Judkins, from Scarborough, portrayed an eccentric physical education teacher he calls Sunny Day. (He said his parents named their children for the first thing they saw outdoor _ there was only one door in their house _ after each baby was born. In his case, he suspects, they stretched the truth.) </P> "	"nyt_eng_199608.gz"
"67181"	"she"	"suspects"	" The recovery of neglected historical materials may restore a more positive, or at least more complex, side, to that history, she suspects, although she is ready to recognize that in some cases the truth about Christian treatment of Jews could turn out to be worse than thought. </P> "	"nyt_eng_199608.gz"
"75009"	"she"	"suspects"	" A couple of other dancing jobs followed. She went to Hollywood for awhile and found the people boring and back-stabbing. She decided to give Ziegfeld another try. She was admitted to his office, she suspects, because nobody else had ever spurned him. </P> "	"nyt_eng_199610.gz"
"75020"	"she"	"suspects"	" A couple of other dancing jobs followed. She went to Hollywood for awhile and found the people boring and back-stabbing. She decided to give Ziegfeld another try. She was admitted to his office, she suspects, because nobody else had ever spurned him. </P> "	"nyt_eng_199610.gz"
"76942"	"he"	"suspects"	" Today his daughter, he suspects, is worried that he has lost part of that heart. He's talking a lot about Bob Dole. She's for President Clinton. The father hopes she respects differences of opinion, and he hopes he has not lost that heart he listened to in the fall of 1968. </P> "	"nyt_eng_199611.gz"
"77047"	"he"	"suspects"	" Today his daughter, he suspects, is worried that he has lost part of that heart. He's talking a lot about Bob Dole. She's for President Clinton. The father hopes she respects differences of opinion, and he hopes he has not lost that heart he listened to in the fall of 1968. </P> "	"nyt_eng_199611.gz"
"92023"	"he"	"suspects"	" The mayor-elect reasons that some white residents fear he will overlook their needs and shift most of the resources to minorities. And some people, he suspects, may be intimidated by the growing power base in general among Haitian-Americans in South Florida. </P> "	"nyt_eng_200105.gz"
"95483"	"he"	"suspects"	" ``The love affair with language was over,'' he writes, and Broadway audiences began to expect to be wrapped in a ``cocoon of amplified sound.'' Today, he suspects, a ``tourist from Kazakhstan would be puzzled by the revival of `Kiss Me Kate' but would get along fine at `The Phantom of the Opera.''' </P> "	"nyt_eng_200107.gz"
"120341"	"he"	"suspects"	" He delivered telephone books and phone-in fried chicken orders. While making home deliveries, he met shut-ins who, he suspects, weren't as hungry for a two-piece meal as they were for someone to talk to. </P> "	"nyt_eng_200207.gz"
"124476"	"she"	"suspects"	" The physical and emotional comforts can be hard to turn away. ``Sometimes you feel like you died, too,'' said one survivor who is in a physical relationship with a man who, she suspects, is falling for her. ``So if, for an hour, you can have a sensation of feeling again, a sensation of any kind, you grab it.'' </P> "	"nyt_eng_200209.gz"
"129541"	"she"	"suspects"	" Peace, she suspects, is not at hand. Some Iraqis are stockpiling flour, water, and canned food. Neighbors have sold all the doors inside their homes, save the front ones, for a few dollars. Others, she said, are making plans to leave Baghdad for the relative safety of the countryside. </P> "	"nyt_eng_200210.gz"
"129578"	"she"	"suspects"	" Peace, she suspects, is not at hand. Some Iraqis are stockpiling flour, water, and canned food. Neighbors have sold all the doors inside their homes, save the front ones, for a few dollars. Others, she said, are making plans to leave Baghdad for the relative safety of the countryside. </P> "	"nyt_eng_200210.gz"
"137018"	"he"	"suspects"	" ``Benjamin Franklin'' shows little of that pessimism. Though besotted with slavery, with its awful hypocrisies, his Colonial world as Morgan relates it is full of bright minds and stirring drama. In many ways, it seems like a nice place to visit, and the affable Philadelphian the perfect companion. Fischer says every generation of Americans finds a new reason to be interested in the Framers, despite their failings. Today's readers, he suspects, ``are looking for ideas and leaders and values in which they can believe, that are worthy of belief.'' </P> "	"nyt_eng_200302.gz"
"140476"	"he"	"suspects"	" As he prepared to depart the LSU campus for home, Perrilloux said he felt no particular sense of relief that his decision is made. The recruiting pressures, he suspects, are far from over. </P> "	"nyt_eng_200407.gz"
"161226"	"he"	"suspects"	" No studies, furthermore, have been able to determine whether illegal immigrants-who tend to loom particularly large in public fears-are as crime-averse as legal immigrants. On this front, though, criminologists have at least been able to make informed guesses. Sampson, for example, points out that 75 percent of the immigrants in his study listed themselves as noncitizens. While many of those may have been in the process of applying for citizenship, a good number, he suspects, were simply illegal. And Martinez claims that he's seen very few illegal immigrants in the prison populations, homicide reports, and detectives' assessments he's studied. They're laying low, he says, and committing a crime would only get them noticed. </P> "	"nyt_eng_200601.gz"
"166197"	"he"	"suspects"	" He says he has applied for jobs. But no one calls back, he suspects, because of the nature of the criminal charges. </P> "	"nyt_eng_200605.gz"
"172517"	"he"	"suspects"	" La Russa said he knows there are fans who believe he should have asked the umpire to go to the mound. There are players on his team, he suspects, who would have liked the same thing; he addressed it with the team Monday, he said. </P> "	"nyt_eng_200610.gz"
