"pronoun"	"verb"	"context"	"filename"
"6120"	"he"	"lamented"	" What was once something of an after-dark lark for illegal aliens, he lamented, had turned into an ordeal because of a new effort by the ``Yanquis'' to seal the notoriously porous San Diego section of the international boundary. </P> "	"nyt_eng_199410.gz"
"6135"	"he"	"lamented"	" What was once something of an after-dark lark for illegal aliens, he lamented, had turned into an ordeal because of a new effort by the ``Yanquis'' to seal the notoriously porous San Diego section of the international boundary. </P> "	"nyt_eng_199410.gz"
"9066"	"she"	"lamented"	" Worst of all, she lamented, were the rumors. </P> "	"nyt_eng_199411.gz"
"12760"	"he"	"lamented"	" Even the natural wonder of the sea, he lamented, had eroded with time. ``The Atlantic Ocean was something then,'' he said. </P> "	"nyt_eng_199501.gz"
"12766"	"he"	"lamented"	" Even the natural wonder of the sea, he lamented, had eroded with time. ``The Atlantic Ocean was something then,'' he said. </P> "	"nyt_eng_199501.gz"
"12863"	"he"	"lamented"	" Even the natural wonder of the sea, he lamented, had eroded with time. ``The Atlantic Ocean was something then,'' he said. </P> "	"nyt_eng_199501.gz"
"41219"	"she"	"lamented"	" Asma Benyoussef, 20, and a native of Libya who was among the four students supporting the mission said that she liked the tone of the speech with its emphasis on ``moral obligation'' and the ``U.S. leadership role in the world.'' But such concepts, she lamented, probably don't have the gravity of a single oil well in the mind of the American public. </P> "	"nyt_eng_199511.gz"
"42362"	"she"	"lamented"	" But, she lamented, the arts community does not pour money into politicians' campaigns nor does it provide corporate jets for candidates to travel. </P> "	"nyt_eng_199512.gz"
"59772"	"he"	"lamented"	" If only they would shake their heads no instead of waving, he lamented, ``because the driver can't tell whether it's a `do stop' wave or a `don't stop' wave.'' </P> "	"nyt_eng_199605.gz"
"59872"	"he"	"lamented"	" If only they would shake their heads no instead of waving, he lamented, ``because the driver can't tell whether it's a `do stop' wave or a `don't stop' wave.'' </P> "	"nyt_eng_199605.gz"
"62865"	"she"	"lamented"	" His manners, she lamented, werevery, very bad. </P> "	"nyt_eng_199606.gz"
"72799"	"he"	"lamented"	" ``I defy you to name a single work of art that has ever changed anything,'' said Brustein, who argued that art should inspire a discussion of problems but not try to solve the problems. He also charged that ``our passion for cultural diversity in the arts'' had led to ``debased standards,'' which, he lamented, are ultimately ``demeaning and patronizing'' to minority artists. </P> "	"nyt_eng_199609.gz"
"75657"	"he"	"lamented"	" Today, he lamented, the answer is to build more prisons, mete out harsher sentences, forget about any efforts to rehabilitate. </P> "	"nyt_eng_199610.gz"
"78638"	"he"	"lamented"	" Derek Ostergard, associate director of the Bard Graduate Center for Studies in the Decorative Arts, agrees with the premise. ``The sad thing,'' he says, ``is there are so many wonderful scholars laboring away in silence who are always being told by publishers that their books are too esoteric.'' The new breed of book-brochures, he lamented, ``are not unethical; they're just bad taste. I'm tired of buying them only to get them home and find they have no depth.'' </P> "	"nyt_eng_199611.gz"
"95793"	"she"	"lamented"	" Getting ready to go out the Friday night before her surgery, Young talked about her plans with a frank, confident air. She wore a white sleeveless top, black capri pants, girlish mules, pink eye shadow and lavender nail polish that, she lamented, would have to come off for surgery. </P> "	"nyt_eng_200107.gz"
"122669"	"he"	"lamented"	" Tom Toomey, a New York schoolteacher who spent several years in Russia, gazed out of the window of a regional train as it chugged through Delaware on Friday morning. Saying train travel here is far less trouble prone than in Russia, he lamented, ``You know a country is really in trouble when the trains don't run on time.'' </P> "	"nyt_eng_200208.gz"
"169436"	"he"	"lamented"	" In an interview in The New York Times in Feb. 6, 1972, he lamented, as roads and homes and stores continue to be built, the number of birding spots declines in proportion. Yet he remained optimistic, adding, But there is nothing like getting out on a crisp morning with a destination, or a dozen destinations, in mind. </P> "	"nyt_eng_200608.gz"
