"pronoun"	"verb"	"context"	"filename"
"49193"	"he"	"suspected"	" Joseph and Barbara, he suspected, had a malfunction in a part of their brains called the caudate nucleus, which acts like a gearshift for processing thought. </P> "	"nyt_eng_199602.gz"
"49216"	"he"	"suspected"	" Joseph and Barbara, he suspected, had a malfunction in a part of their brains called the caudate nucleus, which acts like a gearshift for processing thought. </P> "	"nyt_eng_199602.gz"
"57585"	"she"	"suspected"	" The immigrant mother, who speaks either no or limited English, had previously been troubled by her errant son. He was a high-school dropout and, she suspected, a member of a gang. </P> "	"nyt_eng_199605.gz"
"60563"	"I"	"suspected"	" All along the momument families paused, searching that vast black granite for loved ones now, finally, committed by their nation to a rightful and hallowed place of honor. Children ran their fingers across the names searching, I suspected, for someone they'd never touched. A woman pressed her cheek to one, as if to get closer, and wept. </P> "	"nyt_eng_199605.gz"
"60667"	"I"	"suspected"	" All along the momument families paused, searching that vast black granite for loved ones now, finally, committed by their nation to a rightful and hallowed place of honor. Children ran their fingers across the names searching, I suspected, for someone they'd never touched. A woman pressed her cheek to one, as if to get closer, and wept. </P> "	"nyt_eng_199605.gz"
"60822"	"I"	"suspected"	" All along the monument families paused and searched that vast black granite for loved ones now, finally, committed by their nation to a rightful and hallowed place of honor. Children ran their fingers across the names searching, I suspected, for someone they'd never touched. A woman pressed her cheek to one, as if to get closer, and wept. </P> "	"nyt_eng_199605.gz"
"60942"	"I"	"suspected"	" All along the monument families paused and searched that vast black granite for loved ones now, finally, committed by their nation to a rightful and hallowed place of honor. Children ran their fingers across the names searching, I suspected, for someone they'd never touched. A woman pressed her cheek to one, as if to get closer, and wept. </P> "	"nyt_eng_199605.gz"
"65258"	"she"	"suspected"	" Just last week, Susan Cohen faced off against a Republican U.S. senator from Rhode Island who, she suspected, was blocking the anti-terrorism bill before it could come before the full Senate. </P> "	"nyt_eng_199607.gz"
"76476"	"he"	"suspected"	" Soon after Francisco Resendiz reported the abduction of his teen-age son to the authorities last year, he felt the same sinking feeling shared by hundreds of other Mexicans whose loved ones have been kidnapped: the police working on the case, he suspected, were collaborating with the abductors. </P> "	"nyt_eng_199610.gz"
"78471"	"she"	"suspected"	" Ms. Marshall and Glass worked hard to make sure that neither dance nor music held center stage too long. ``This balancing act had to happen on almost every level,'' she said. ``Yet why dance if we are not going to be imagistic, metaphorical and powerful?'' Still, she suspected, many in the academy audience would not be comfortable with dance. </P> "	"nyt_eng_199611.gz"
"83164"	"I"	"suspected"	" For beginners, skiing is hard, awkward work, and also subject to frequent falling. Before I knew it, boys started making their way to the first-aid station _ a few genuinely washed out from the altitude but two or three, I suspected, seeking refuge from their frustrating ordeals. </P> "	"nyt_eng_199701.gz"
"100004"	"you"	"suspected"	" The stoic Dalis had this way of hovering in the background at UCLA press conferences, almost blending into the shadows, as if he wanted to make sure his coach didn't say the wrong thing or, you suspected, so he knew exactly which reporter asked the negative questions. </P> "	"nyt_eng_200111.gz"
"115948"	"he"	"suspected"	" In 1995, the Celtics drafted Eric Williams with the 14th pick. He celebrated with Petty and toasted his late friend Shawn Jones. The Celtics, he suspected, did a background check on him, and he was sure Pitino knew about his past. But nothing was ever said. </P> "	"nyt_eng_200205.gz"
"144207"	"he"	"suspected"	" But seven of the eight tapes Lindstrom mailed to Big 12 schools were sent back and a few, he suspected, were not watched. The eighth tape -- Baylor kept that one. </P> "	"nyt_eng_200410.gz"
"158093"	"he"	"suspected"	" Those studies began before the introduction of powerful clot-preventing and cholesterol-lowering drugs given at the time of a heart attack, Fuster said. The new study took advantage of the newer drug regimens, and that, he suspected, was why it found no advantage to having angioplasty right away for a mild heart attack. </P> "	"nyt_eng_200509.gz"
"174403"	"she"	"suspected"	" The devices, she suspected, had been buried under a lava flow 1.2 miles below the surface of the Pacific Ocean. When scientists at the Woods Hole Oceanographic Institution confirmed her suspicions a few months later, they also confirmed that her instruments had - for the first time ever - captured an undersea volcano while it erupted. </P> "	"nyt_eng_200612.gz"
