"pronoun"	"verb"	"context"	"filename"
"14128"	"it"	"alleges"	" In January of 1994, it alleges, the teacher raped her in the back seat of his car, parked behind St. Rose of Lima Church in Northborough. </P> "	"nyt_eng_199502.gz"
"14134"	"it"	"alleges"	" In January of 1994, it alleges, the teacher raped her in the back seat of his car, parked behind St. Rose of Lima Church in Northborough. </P> "	"nyt_eng_199502.gz"
"18568"	"he"	"alleges"	" Motzkin's federal suit alleges that he suffers from depression and that the medication he takes loosens inhibitions that would have prevented him from ``inappropriate conduct.'' Once students complained about his behavior, he alleges, the university was aware of his handicap and had an obligation to help him deal with this under laws preventing discrimination against disabled people. </P> "	"nyt_eng_199504.gz"
"25718"	"it"	"alleges"	" Ayala in its suit isn't saying anything outright illegal happened. Instead, it alleges, the government simply stretched the rules for Metro Pacific when it let Metro put up stock instead of cash to guarantee it would pay the whole 39-billion-peso price. The lawsuit seeks to set aside the sale in favor of Ayala. </P> "	"nyt_eng_199506.gz"
"25722"	"it"	"alleges"	" Ayala isn't saying anything outright illegal happened. Instead, it alleges, the government simply stretched the rules for Metro Pacific when it let Metro put up stock instead of cash to guarantee it would pay the whole 39-billion-peso price. </P> "	"nyt_eng_199506.gz"
"25724"	"it"	"alleges"	" Ayala isn't saying anything outright illegal happened. Instead, it alleges, the government simply stretched the rules for Metro Pacific when it let Metro put up stock instead of cash to guarantee it would pay the whole 39-billion-peso price. </P> "	"nyt_eng_199506.gz"
"34374"	"it"	"alleges"	" And, it alleges, ``Jones has made it clear that he intends to enter into other, similar marketing and promotional deals which will have the effect of further injuring NFL Properties and the NFL joint venture.'' </P> "	"nyt_eng_199509.gz"
"43163"	"he"	"alleges"	" In Stone's movie, Nixon's damning deeds are all there, but their impact is offset by the president's stream of self-rationalizing dialogue about the supposed corruption of everyone else in politics, including, he alleges, the Kennedys. And Hopkins' moving performance creates an empathy that goes beyond the facts. </P> "	"nyt_eng_199512.gz"
"63276"	"he"	"alleges"	" He estimates that about 10 percent of the Bush White House had smoked marijuana in the past. But illegal drug use among the Clintonites, he alleges, had been ``much higher'' and included substances like cocaine, heroin or methamphetamines. </P> "	"nyt_eng_199606.gz"
"63366"	"he"	"alleges"	" He estimates that about 10 percent of the Bush White House had smoked marijuana in the past. But illegal drug use among the Clintonites, he alleges, had been ``much higher'' and included substances like cocaine, heroin or methamphetamines. </P> "	"nyt_eng_199607.gz"
"83679"	"she"	"alleges"	" Paula Corbin Jones was making $6.35 an hour as an Arkansas state clerk on the afternoon of May 8, 1991, when, she alleges, then-Gov. Bill Clinton sexually harassed her. </P> "	"nyt_eng_199701.gz"
"119001"	"he"	"alleges"	" Sidaway said Wednesday he has not seen the panel's report, but read news accounts and isn't satisfied. He says the dioceses had agreed to establish such a panel soon after the settlement. Instead, he alleges, the church waited until four years after the settlement and after the Rev. Anthony J. O'Connell resigned this March, admitting to abusing a young man a quarter of a century earlier in Missouri. </P> "	"nyt_eng_200206.gz"
"129706"	"she"	"alleges"	" Alas, she says that's not what happened at all, and now she is suing McKinney and three other Perry aides for slander and defamation because they have disputed her version of events and, she alleges, accused her of perjury. </P> "	"nyt_eng_200210.gz"
"132982"	"he"	"alleges"	" He contends that by contracting to sell to a for-profit corporation, Health Midwest has abandoned its nonprofit purpose. As a result, he alleges, the board abused its authority by selling or disposing of its assets ``to the detriment'' and ``in contravention'' of its nonprofit purposes. </P> "	"nyt_eng_200212.gz"
"159855"	"he"	"alleges"	" The suit Lockyer's office filed Wednesday in Sacramento County Superior Court alleges that Sempra Energy Trading Corp., now Sempra Commodities, manipulated the energy market during the 2000-01 power crisis to drive up prices and shrink supplies. The company engaged in more than 5,000 transactions that gamed the market, he alleges, using schemes with nicknames such as Fat Boy, Ricochet, Death Star and Get Shorty. </P> "	"nyt_eng_200511.gz"
"164783"	"he"	"alleges"	" EARLIER THIS MONTH, a 25-year-old Michigan computer programmer named Matthew Dubay sued in federal court to avoid paying child support for his 7-month-old daughter. The girl's mother, he alleges, had claimed to be both infertile and on birth control, and he had made it clear all along that he didn't want children. The resulting pregnancy, as he saw it, was simply not his fault, and the child not in any way his responsibility. </P> "	"nyt_eng_200603.gz"
