"pronoun"	"verb"	"context"	"filename"
"17403"	"he"	"surmised"	" In Matsumoto, he surmised, the culprit was able to mix two different chemicals together to form sarin just before its release, something that would have been impossible to do in a train without attracting attention. </P> "	"nyt_eng_199503.gz"
"19785"	"I"	"surmised"	" Adrenalin coursed through the kitchen like water from a fire hose. Lewis slammed bubbling hot strudels down in front of me. They couldn't be that hot, I surmised, since Lewis had picked one up to check its doneness. Of course I had forgotten that cooks develop Naugahyde hands from constantly grabbing hot utensils. So when I seized a strudel with my bare fingers I didn't dare scream. How humiliating! I decided I would scream later, after work. </P> "	"nyt_eng_199504.gz"
"19958"	"he"	"surmised"	" From his experience with bombings, Murphy said he believes that the device used in Oklahoma City was assembled in the area. Detonation, he surmised, was accomplished either remotely, or using a timer, blasting cap and a stick of dynamite. </P> "	"nyt_eng_199504.gz"
"27162"	"he"	"surmised"	" ``To tell you the truth,'' said the elevator operator at Chelsea Mini-Storage, who declined to give his name, ``most people here just store junk.'' In fact, he surmised, the value of the items stored is often much less than the cheapest space at Chelsea _ $52 a month. </P> "	"nyt_eng_199507.gz"
"44671"	"he"	"surmised"	" Upledger began his work by focusing on Clark's left leg and pelvis. At some point, he surmised, Clark twisted her left leg, creating an imbalance when she stood. </P> "	"nyt_eng_199601.gz"
"69941"	"he"	"surmised"	" For example, Erickson said, it is highly unusual to find, as he did at Wannagan Creek, alligators and crocodiles sharing a territory. Ordinarily, they are as antagonistic as two fighters competing for a heavyweight title. Erickson, who has a special interest in paleoecology, spent a lot of time looking at living crocodiles and alligators in different places to develop some ideas as to how the two may have coexisted at Wannagan. The alligators, he surmised, fed largely on fish, while the crocodiles feasted on turtles, smaller crocodiles and an occasional young alligator. </P> "	"nyt_eng_199609.gz"
"70006"	"he"	"surmised"	" For example, Erickson said, it is highly unusual to find, as he did at Wannagan Creek, alligators and crocodiles sharing a territory. Ordinarily, they are as antagonistic as two fighters competing for a heavyweight title. Erickson, who has a special interest in paleoecology, spent a lot of time looking at living crocodiles and alligators in different places to develop some ideas as to how the two may have coexisted at Wannagan. The alligators, he surmised, fed largely on fish, while the crocodiles feasted on turtles, smaller crocodiles and an occasional young alligator. </P> "	"nyt_eng_199609.gz"
"76880"	"he"	"surmised"	" ``It's a few days before an election,'' he said. ``We don't see any signs. Bumper stickers on cars _ that used to be a way to show excitement building.'' President Clinton, he surmised, simply ``has a ball rolling. It's a big ball _ it's heavy and it's hard to stop.'' </P> "	"nyt_eng_199611.gz"
"78926"	"he"	"surmised"	" Ehman said he can only assume that some delegates thought the Star too costly at $35,000 compared to about $5,000 to $10,000 for the dinghies. Stature was also a factor, he surmised, adding that weight requirements for the Star may have been a problem for some Asian countries. </P> "	"nyt_eng_199611.gz"
"84665"	"they"	"surmised"	" In 1982, when he was on the faculty of the University of Chicago, Dr. Turner and a colleague, Dr. Frank Wilczek of the University of California at Santa Barbara (now at the Institute for Advanced Study), hypothesized the possible existence of a false vacuum. After the Big Bang, they wrote in the journal Nature, the young universe might have allowed for various different minimum-energy states, and might have settled into one that was not the lowest possible energy. Under some circumstances, they surmised, the false vacuum might collapse from its present energy state to a lower one. </P> "	"nyt_eng_199701.gz"
"84699"	"they"	"surmised"	" In 1982, when he was on the faculty of the University of Chicago, Dr. Turner and a colleague, Dr. Frank Wilczek of the University of California at Santa Barbara (now at the Institute for Advanced Study), hypothesized the possible existence of a false vacuum. After the Big Bang, they wrote in the journal Nature, the young universe might have allowed for various different minimum-energy states, and might have settled into one that was not the lowest possible energy. Under some circumstances, they surmised, the false vacuum might collapse from its present energy state to a lower one. </P> "	"nyt_eng_199701.gz"
"99084"	"we"	"surmised"	" Our one-way ticket across the pond, we surmised, had raised eyebrows. </P> "	"nyt_eng_200110.gz"
"107623"	"he"	"surmised"	" ``I was convinced that there would be a time when we would inhabit the moon,'' Cardin reflected, ``and I thought to myself, `What will women want to wear on the moon?''' Perhaps they would want to slip into a red plastic circle that functioned as a minidress, he surmised, or strap on a bra top with clear bubble cups. </P> "	"nyt_eng_200202.gz"
"118716"	"he"	"surmised"	" So Edwards asked himself: ``What is this animal? It's a carnivore, it eats other animals, and it has a small garage door _ a sticky tongue _ to get food into its digestive tract.'' Perhaps, he surmised, it will do well on the meat-rich diet of a more commonplace carnivore, the domestic cat, with high-fiber monkey food added to replace the carbohydrate chitin, which forms the outer skeleton of ants. </P> "	"nyt_eng_200206.gz"
"129515"	"they"	"surmised"	" Despite the guest list, people who drink at the Waterfront described themselves as warm, well-adjusted. Perhaps it was their accepting attitude, they surmised, that let so many notorious characters feel welcome. </P> "	"nyt_eng_200210.gz"
"129564"	"they"	"surmised"	" Despite the guest list, people who drink at the Waterfront described themselves as warm, well-adjusted. Perhaps it was their accepting attitude, they surmised, that let so many notorious characters feel welcome. </P> "	"nyt_eng_200210.gz"
"140345"	"he"	"surmised"	" The missiles, he surmised, came from a dense enclave across the river called Haifa Street, a hotbed of guns and rockets and guerrillas fighting the continued presence of 140,000 American troops. Just after the blast, about 3:30 in the afternoon, members of the hospital staff saw plumes of smoke -- signs of where a rocket had been launched among the high-rise buildings. </P> "	"nyt_eng_200407.gz"
