"pronoun"	"verb"	"context"	"filename"
"58942"	"they"	"leak"	" But when cells are infected or otherwise killed, they leak, spilling their insides all over the place. One could hardly ask for a better signal that the body was under attack. </P> "	"nyt_eng_199605.gz"
"58946"	"they"	"leak"	" But when cells are infected or otherwise killed, they leak, spilling their insides all over the place. One could hardly ask for a better signal that the body was under attack. </P> "	"nyt_eng_199605.gz"
"59295"	"they"	"leak"	" But when cells are infected or otherwise killed, they leak, spilling their insides all over the place. One could hardly ask for a better signal that the body was under attack. </P> "	"nyt_eng_199605.gz"
"59299"	"they"	"leak"	" But when cells are infected or otherwise killed, they leak, spilling their insides all over the place. One could hardly ask for a better signal that the body was under attack. </P> "	"nyt_eng_199605.gz"
"59419"	"they"	"leak"	" But when cells are infected or otherwise killed, they leak, spilling their insides all over the place. One could hardly ask for a better signal that the body was under attack. </P> "	"nyt_eng_199605.gz"
"59423"	"they"	"leak"	" But when cells are infected or otherwise killed, they leak, spilling their insides all over the place. One could hardly ask for a better signal that the body was under attack. </P> "	"nyt_eng_199605.gz"
"60010"	"they"	"leak"	" But when cells are infected or otherwise killed, they leak, spilling their insides all over the place. One could hardly ask for a better signal that the body was under attack. </P> "	"nyt_eng_199605.gz"
"60014"	"they"	"leak"	" But when cells are infected or otherwise killed, they leak, spilling their insides all over the place. One could hardly ask for a better signal that the body was under attack. </P> "	"nyt_eng_199605.gz"
"62096"	"they"	"leak"	" But when cells are infected or otherwise killed, they leak, spilling their insides all over the place. One could hardly ask for a better signal that the body was under attack. </P> "	"nyt_eng_199606.gz"
"62100"	"they"	"leak"	" But when cells are infected or otherwise killed, they leak, spilling their insides all over the place. One could hardly ask for a better signal that the body was under attack. </P> "	"nyt_eng_199606.gz"
"93238"	"they"	"leak"	" A. Gutters are the bane of a homeowner's existence. If they don't fill up with debris, they leak, it seems. Gutter guards can be used to keep debris out, but if you have a good roof overhang of 6 inches or more, sometimes you can take off the gutters, put a concrete apron around the house and still keep the water out of the basement. </P> "	"nyt_eng_200106.gz"
