"pronoun"	"verb"	"context"	"filename"
"16353"	"he"	"cautions"	" But, he cautions, it's much more likely that the music will affect those drawn to it rather than the other way around. ``Any of us who play Celtic music can tell you: Once you play this music, it's part of your life. It's what you are.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950308.0281 type=story > <HEADLINE> ALEXANDER DAMNS WASHINGTON WHILE SEEKING TO RETURN TO IT </HEADLINE> <DATELINE> WASHINGTON  (BC-THOMPSON-COLUMN-$ADV12-HNS) </DATELINE> <TEXT> "	"nyt_eng_199503.gz"
"20781"	"he"	"cautions"	" J. Brian Atwood, who heads the government's main foreign aid arm, the Agency for International Development, insists that foreign assistance is just as vital today as during the Cold War. The world is still plenty dangerous, he cautions, and a steady flow of aid is needed to prevent future Somalias and Rwandas. </P> "	"nyt_eng_199504.gz"
"20907"	"he"	"cautions"	" J. Brian Atwood, who heads the government's main foreign aid arm, the Agency for International Development, insists that foreign assistance is just as vital today as during the Cold War. The world is still plenty dangerous, he cautions, and a steady flow of aid is needed to prevent future Somalias and Rwandas. </P> "	"nyt_eng_199505.gz"
"49840"	"he"	"cautions"	" Still, he cautions, laser hair removal, like electrolysis, is not an intrinsically gentle process. Both methods are designed ``to destroy living cells in hair follicles... God did not intend this to happen.'' </P> "	"nyt_eng_199602.gz"
"54216"	"she"	"cautions"	" It's no use, she cautions, just to put a sign in the window that says, ``Cashier has less than $50.'' Most robbers case the place. They can see if your cash drawer is loaded. </P> "	"nyt_eng_199604.gz"
"71439"	"he"	"cautions"	" ``It's almost site-specific,'' says Klein, ``because of the way the dancers interact with the set. The dancers represent nature.'' But, he cautions, ``It's not, `Be a tree.' It's not a Jules Feiffer cartoon.'' </P> "	"nyt_eng_199609.gz"
"81280"	"he"	"cautions"	" More work needs to be done, he cautions, but the Florida study, which was funded by Solvay Pharmaceuticals, the maker of Estratab, means some women may be able to avoid taking progestins like Provera to protect the uterus. Progestins can cause bloating, depression and other side effects. </P> "	"nyt_eng_199612.gz"
"94346"	"he"	"cautions"	" Still, he cautions, ``The climate for doing business in Vietnam is not very good right now. There is a lot of red tape and corruption, and no rule of law.'' </P> "	"nyt_eng_200106.gz"
"98232"	"he"	"cautions"	" But, he cautions, a double shot with a twist isn't for everyone. </P> "	"nyt_eng_200110.gz"
"98876"	"he"	"cautions"	" ``I would tell him that a lot of people died, and we respect them,'' Jonathan Ramos said. ``If he didn't know the pledge, I would at least teach him. I wouldn't fight with him just because he doesn't say the pledge.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_20011023.0176 type=advis > <DATELINE>  (BC-HEARST-NEWS-BUDGET-1STLD-WRITETHRU-HNS) </DATELINE> <TEXT> Tuesday, Oct. 23, 2001  Editors  The Hearst News Service will file the following for Wednesday and Sunday. If you have questions, please call Susie McBee or Tim Spence at 202-298-6920.  (Adds: PAKISTAN-CASUALTIES; AFGHAN-CIVILIANS; BUSH-MIDEAST; ATTACK-INVESTIGATE; ATTACK-MILITARY; BORDER-SECURITY; AFGHAN-FUTURE; COMPAQ-EARNINGS; and ENRON-CONFLICT.)  For Wednesday:  INTERNATIONAL NEWS (``i'' category)  PAKISTAN-CASUALTIES (Quetta, Pakistan) _ Some Afghan refugees being treated at a hospital here say they suffered their wounds during American bombing raids in Afghanistan. By DUDLEY ALTHAUS. (With photos by EDWARD ORNELAS.)  AFGHAN-CIVILIANS (Northern Afghanistan) _ We take a like at what it is like to live in a war zone of northern Afghanistan, from the perspective of the area's impoverished civilians. By ANNA BADKHEN.  WASHINGTON NEWS (``w'' category)  ANTHRAX (Washington) _ The Bush administration is thrown on the defensive about its handling of the anthrax attack on the nation's mail system amid fresh Postal Service casualties on the home front. Meanwhile, the White House says evidence of anthrax has been found at the White House mail processing center. By STEWART M. POWELL, JUDY HOLLAND and DAVID EGGERT.  AIR-VENTILATION-THREAT (Washington) _ The FBI has warned office building managers across the country to take steps to protect their property from terrorists who would release chemical agents such as cyanide into heating and air conditioning systems. The Building Owners and Managers Association International, whose members administer 8.5 billion square feet of office space in the United States and Canada, warns that ``release of a toxic chemical into an air handling system is a credible threat.'' By ERIC ROSENBERG.  BUSH-MIDEAST (Washington) _ President Bush interrupts a meeting between his national security advisor and Israeli Foreign Minister Shimon Peres to make a personal request that Israel withdraw its military forces from Palestinian areas. By JOHN C. HENRY.  ATTACK-MILITARY (Washington) _ We look at the developments in the military campaign in Afghanistan. By MICHAEL HEDGES.  TERRORIST-FUGITIVES (Washington) _ Germany has issued arrest warrants for three fugitives, accused of being members of a terrorist cell in Hamburg that helped plan the Sept. 11 attacks on America. The action is announced by Attorney General John Ashcroft and his German counterpart Otto Schily. They say the cell included three of the hijackers who died in the suicide attacks. By MARK HELM.  NATIONAL NEWS (``a'' category)  BORDER-SECURITY (Rouses Point, N.Y.) _ Workers who process the hundreds of freight cars that cross the Canadian border each day are concerned that the shipments are not getting the same scrutiny as commercial trucks and passenger vehicles. Rail workers say U.S. authorities have done little to boost inspections of railway freight cars since the terror acts of Sept. 11. By BRENDAN LYONS.  AFGHAN-FUTURE (Williamstown, Mass.) _ David Edwards, a leading specialist on Afghanistan, believes that a moderation government could be installed in the Central Asian nation that could hand over Osama bin Laden and root out terrorism. One thing standing in the way, he cautions, is a ``horrendous'' refugee crisis more severe than any he has seen in the more than 20 years he has traveled to Afghanistan and studied its people. By JACQUELYN SWEARINGEN.  BUSINESS/FINANCIAL NEWS (``f'' category)  COMPAQ-EARNINGS (Houston) _ Compaq Computer releases its earnings report. It had previously warned it would miss and lose a lot due to ``The Perfect Storm.'' By TOM FOWLER.  ENRON-CONFLICT (Houston) _ Enron knew there would be an inherent conflict-of interest with chief financial officer Andy Fastow running two investment partnerships that did business with Enron, so Enron's board set up procedures to make sure shareholder interests wouldn't be compromised, investors and analysts are told. By LAURA GOLDBERG.  COMMENTARY (``k'' category)  MEANS-COLUMN (Washington) _ The real test of the resilience of the American spirit is not whether families go to Disney World or buy luxury goods but whether our children get to enjoy Halloween next week. It's a scary time for many folks, who worry about tainted candy and explosives in malls. But it's also a time of treats for kids who deserve to have some normal fun. We should not cancel Halloween, as some are suggesting, but celebrate it as usual. By MARIANNE MEANS.  For Sunday:  WASHINGTON NEWS (``w'' category)  FLIGHT15-SCHOLARSHIP (Washington) _ Unbelievable kindness. That's how the stranded passengers of Delta Flight 15 described the response of the people of Lewisporte, a small Canadian town, in the days following the horror of Sept. 11. Townspeople gave the unexpected visitors food, shelter, medicine, even guided tours of the lovely area. And all for free. Now Flight 15 passengers are determined to return the favor. They are raising thousands of dollars to start a college scholarship fund for the town's high school students. By DAVID EGGERT. </TEXT> </DOC> <DOC id=NYT_ENG_20011023.0177 type=story > <HEADLINE> THERE ISN'T MUCH MEAT ON THIS MOVIE'S `BONES' </HEADLINE> <DATELINE>  (BC-FILM-BONES-REVIEW-HNS) </DATELINE> <TEXT> "	"nyt_eng_200110.gz"
