"pronoun"	"verb"	"context"	"filename"
"15053"	"he"	"noticed"	" Nakatani, he noticed, ``rides her like she can't lose ... (but) there's points in the race where you wonder if she might.'' </P> "	"nyt_eng_199502.gz"
"15496"	"he"	"noticed"	" As he piled up the accolades, he started wondering about transferring. The Big East, he noticed, got all the press. Those teams were on television all the time. He could play in the Big East. Maybe it wasn't too late ... </P> "	"nyt_eng_199502.gz"
"16438"	"I"	"noticed"	" ``Then -- and this is a reminder to pay attention to intuition -- for two years, I'd been having a difficult time sleeping, and I wondered why. Was I getting old? In Truro (on Cape Cod), I was climbing stairs over sand dunes and had to rest three times because my legs were weak. Still, I assumed it was aging. Then, I noticed, at a party, when I began to dance, I stumbled. </P> "	"nyt_eng_199503.gz"
"17282"	"I"	"noticed"	" On Jan. 30 of this year I was in my back yard filling the bird feeder. Under the back wooden steps to my house, I noticed, green stalks were sprouting from some kind of annual bulbs. </P> "	"nyt_eng_199503.gz"
"24888"	"I"	"noticed"	" Other ingredients are more familiar but just as baffling to find in shampoo _ watercress, sage, jasmine, kiwi, mango, coconut, grapefruit, strawberry, apple, chamomile and papaya. Among other things. They sound delicious, but I wonder if they're really any better than the old standbys. Prell, I noticed, was sold out, which somehow wasn't surprising. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950612.0403 type=story > <HEADLINE> `GIVE ME YOUR BEST, BRIGHTEST,' CRIES CANADA </HEADLINE> <DATELINE> MONTREAL (BC-FOREIGN-JOURNAL-BOS) </DATELINE> <TEXT> "	"nyt_eng_199506.gz"
"26383"	"we"	"noticed"	" Big Sur, we noticed, has its own fan club. Every turnout seems to have a camper with an aging hippie sitting in a lawn chair gazing serenely out to sea. We had read about one of them, Cosmo, an elderly man who roams the coast in an old Winnebago. I think we passed him in a beach chair, playing conga drums as the sun split for the other side of the globe. </P> "	"nyt_eng_199506.gz"
"31152"	"I"	"noticed"	" It looks like it's going to be a nice day at the beach. I suspect every day is a nice day at the beach. They post the temperatures at the life guard station. Yesterday's, I noticed, was a high of 68. </P> "	"nyt_eng_199508.gz"
"31162"	"I"	"noticed"	" It looks like it's going to be a nice day at the beach. I suspect every day is a nice day at the beach. They post the temperatures at the life guard station. Yesterday's, I noticed, was a high of 68. </P> "	"nyt_eng_199508.gz"
"43336"	"I"	"noticed"	" When we finally sat down to dinner, I noticed, among other things, that Welch's strawberry jam was substituting for cranberries (Cut No. 9). When I said, ``Pass the rolls, please,'' I was told there weren't any (Cut No. 10). </P> "	"nyt_eng_199512.gz"
"63654"	"she"	"noticed"	" And the values she held so dear as a child growing up, she noticed, were changing as well. </P> "	"nyt_eng_199607.gz"
"63677"	"she"	"noticed"	" And the values she held so dear as a child growing up, she noticed, were changing as well. </P> "	"nyt_eng_199607.gz"
"75734"	"I"	"noticed"	" ``But it's also good for the obvious reason of control,'' Pacino said about directing. ``As an actor in movies, you always feel like what you've done is out of your hands. It's usually in more capable hands, but you always question that. With this thing, I noticed, I let go of my self-censoring tendencies because I was more in control of things. That's a funny paradox; the control aspect of it actually sets you free.'' </P> "	"nyt_eng_199610.gz"
"79616"	"I"	"noticed"	" ``In warm-ups, I noticed, the ball kept slipping from his hand,'' Coach Tom Osborne said. ``Some guys have bigger hands than others.Obviously, I didn't have much confidence in his throwing.'' </P> "	"nyt_eng_199611.gz"
"79856"	"she"	"noticed"	" A couple of weeks ago, at a luncheon during which I was, for a change, the kid, my tablemate, in her 70s, said she liked growing older, because suddenly, she noticed, her children started pandering to her. </P> "	"nyt_eng_199612.gz"
