"pronoun"	"verb"	"context"	"filename"
"21"	"he"	"predicts"	" Ivanisevic bet his manager, Ion Tiriac, that he was capable of keeping his cool throughout this event. So far he hasn't tossed any racquets or epithets and is, he predicts, a much more dangerous finalist than the one who fell to Andre Agassi in 1992. </P> "	"nyt_eng_199407.gz"
"2237"	"he"	"predicts"	" But U.S. exporters are still deeply distressed by the bill emerging from committee caucuses, and for reasons that are easy to understand. Hufbauer notes that U.S. companies are subjected to more anti-dumping actions abroad than foreign companies face in America. And, he predicts, ``every vice in the U.S. anti-dumping law will be emulated.'' </P> "	"nyt_eng_199408.gz"
"5801"	"he"	"predicts"	" But Gold points out that state and local coffers are benefiting from economic recovery and a boom in auto sales; the ``piper will be paid'' later on, he predicts, when the growth of sales taxes slows. </P> "	"nyt_eng_199410.gz"
"5878"	"he"	"predicts"	" But Gold points out that state and local coffers are benefiting from economic recovery and a boom in auto sales; the ``piper will be paid'' later on, he predicts, when the growth of sales taxes slows. </P> "	"nyt_eng_199410.gz"
"11371"	"he"	"predicts"	" Kraemer, at EDS, argues that entertainment will not be the ``killer application'' that many companies expect. Instead, he predicts, the real profits will come from offering a broad array of information and transaction services like home banking and shopping. </P> "	"nyt_eng_199412.gz"
"11449"	"he"	"predicts"	" Mariani gets around -- this year, the critic logged about 300 meals away from home, dining in 25 cities. On his hit list: food that's been played with too much. On his wish list: chefs who take advantage of more of what's available in the seas. Mariani says Mediterranean and Italian themes will continue to dominate the national dining out scene and adds, ``I have a strong suspicion that `fusion' or Pacific Rim cooking will settle down. Chefs are tired of working with all those strong flavors.'' In its place, he predicts, diners will see ``more South American, Central American and Iberian'' cooking. </P> "	"nyt_eng_199501.gz"
"11500"	"he"	"predicts"	" Kraemer, at EDS, argues that entertainment will not be the ``killer application'' that many companies expect. Instead, he predicts, the real profits will come from offering a broad array of information and transaction services like home banking and shopping. </P> "	"nyt_eng_199501.gz"
"14049"	"he"	"predicts"	" Gunderson helped pull together the ``Tuesday Lunch Bunch,'' the group of 40 Republicans who identify themselves as moderates, hopelessly outnumbered by the 190 conservatives elected to the House in November. But the Lunch Bunch, he predicts, will cast swing votes on almost every issue important to Republicans. The moderate caucus, for example, was able to keep potentially explosive social issues such as abortion and school prayer out of the GOP's ``Contract With America.'' </P> "	"nyt_eng_199502.gz"
"14316"	"he"	"predicts"	" ``I don't think anybody goes `Oh boy, vanilla!' '' says Atlanta food consultant and caterer Glenn Powell. (Powell has impeccable chocolate credentials; his tombstone, he predicts, will read, ``Here lies Glenn Powell, creator of Mick's Chocolate Cream Pie.'') </P> "	"nyt_eng_199502.gz"
"16985"	"he"	"predicts"	" In his new book ``The End of Work,'' public interest advocate and economist Jeremy Rifkin says that, in the past, technology both abolished jobs and created new ones. In the future, he predicts, fewer and fewer jobs will be created as machines are created to do more and more of the available work. </P> "	"nyt_eng_199503.gz"
"17455"	"he"	"predicts"	" In his new book ``The End of Work,'' public interest advocate and economist Jeremy Rifkin says that, in the past, technology both abolished jobs and created new ones. In the future, he predicts, fewer and fewer jobs will be created as machines are created to do more and more of the available work. </P> "	"nyt_eng_199503.gz"
"19619"	"he"	"predicts"	" Building more homes per acre, architect Bob Bacon says flatly, ``is the most effective thing we can do to save the desert.'' He proposes a high target: Six homes to an acre instead of three or four, the norm for the northern edge of the Valley. They'll sell, he predicts, if builders come up with imaginative designs that preserve people's sense of privacy. </P> "	"nyt_eng_199504.gz"
"20034"	"he"	"predicts"	" Stephen Bowman, author of ``When the Eagle Screams: America's Vulnerability to Terrorism,'' predicts that in the short term, after the shock wears off, Americans will probably slide back into the kind of it-can't-happen-here mentality. But over the next 10 years, he predicts, America will catch up with Europe in awareness of the terrorist threat. </P> "	"nyt_eng_199504.gz"
"22017"	"she"	"predicts"	" ``We're going to see a new SBA,'' Meyers said. It will be smaller, she predicts, but it also ``will be more responsive to small business.'' A critical SBA problem, she said, has been its inefficient programs hurting the potential of the good programs. </P> "	"nyt_eng_199505.gz"
"22152"	"he"	"predicts"	" Given the expense of fielding camera crews, ``the economics are such that you can't afford to do many stories,'' Bloomberg said. As a result, he predicts, the narrow-focus news-gathering operations like Dow Jones and NBC will end up sending their cameras where they know there will be news _ the very events already being widely covered, he added. </P> "	"nyt_eng_199505.gz"
"22863"	"he"	"predicts"	" If the government plays its cards right, he predicts, public opinion will swing in favor of a treaty with Syria, even if withdrawal is the price. </P> "	"nyt_eng_199505.gz"
"22963"	"he"	"predicts"	" If the government plays its cards right, he predicts, public opinion will swing in favor of a treaty with Syria, even if withdrawal is the price. </P> "	"nyt_eng_199505.gz"
"24218"	"he"	"predicts"	" In a year or two, he predicts, the United States, instead of attacking Japan for unfair trade practices, may be doing everything in its power to help keep the Japanese economy afloat. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950606.0183 type=story > <HEADLINE> EDITORS: Pop quiz: What's the third Sunday in June? Answer: Pop's </HEADLINE> <DATELINE>  (BC-DAD'S-DAY-SPECTACULAR-NYTSF) </DATELINE> <TEXT> "	"nyt_eng_199506.gz"
