"pronoun"	"verb"	"context"	"filename"
"802"	"they"	"contend"	" The objections to the racial justice sections came not from the White House but from the Senate, where Republicans threatened to filibuster the crime bill if it contained the provisions, which, they contend, would mean an end to death sentences. </P> "	"nyt_eng_199407.gz"
"1129"	"they"	"contend"	" Without such recognition, they contend, many men are likely to feel more embattled and more resentful than they do now regarding sexism, sexual harassment, sexual discrimination and job advancement. </P> "	"nyt_eng_199407.gz"
"1336"	"they"	"contend"	" Telephone companies say the blame lies primarily with local regulators, who have used regulated telephone prices to construct elaborate subsidies. Residential phone prices are kept artificially low, they contend, while business services are inflated. These subsidies are possible only in a regulated monopoly environment, because competitors can instantly undercut prices that are far above actual costs. </P> "	"nyt_eng_199407.gz"
"3585"	"they"	"contend"	" The problems in New York are often cited in the health care debate in Washington. Free market advocates blame the state's troubles on the tight regulation of hospital and insurance rates which, they contend, stifles competitive incentives. </P> "	"nyt_eng_199408.gz"
"4039"	"they"	"contend"	" If the trend continues, they contend, the city's shelters could soon be overflowing with families waiting for permanent homes. In fact, according to City Council Speaker Peter F. Vallone, the cutbacks in the incentive program have caused a backlog at a Bronx emergency assistance office where more than 150 families are sleeping each night. </P> "	"nyt_eng_199409.gz"
"5269"	"they"	"contend"	" Opponents, including Mexican-American advocacy groups, civil libertarians, teacher unions and doctors, say the proposition is a mean-spirited exploitation of economic frustration and anti-foreigner sentiment. Its enactment, they contend, could cost California billions in federal aid and do little to rid the state of illegal immigrants. </P> "	"nyt_eng_199409.gz"
"5271"	"they"	"contend"	" Opponents, including Mexican-American advocacy groups, civil libertarians, teacher unions and doctors, say the proposition is a mean-spirited exploitation of economic frustration and anti-foreigner sentiment. Its enactment, they contend, could cost California billions in federal aid and do little to rid the state of illegal immigrants. </P> "	"nyt_eng_199409.gz"
"6013"	"they"	"contend"	" The players have rejected the luxury tax concept because, they contend, it is aimed at penalizing the highest-spending teams and forcing them to lower their payrolls closer to the average so that they wouldn't have to pay a heavy tax. Besides the Red Wings and the Rangers, the union argues, the teams the league wants to intimidate are Pittsburgh, Los Angeles, St. Louis and Buffalo. </P> "	"nyt_eng_199410.gz"
"6719"	"they"	"contend"	" It misunderstood a prudent, fully hedged oil marketing strategy, they contend, and, in a blind panic, sold off the hedges with catastrophic consequences. </P> "	"nyt_eng_199410.gz"
"7984"	"they"	"contend"	" Already, they contend, anti-immigrant sentiments stirred by the election debate are leading to abuses against Mexicans by both the U.S. Border Patrol and ordinary Californians. The Salinas government has responded with a flurry of diplomatic protests and the deployment of more than a dozen new officers to Mexico's nine consulates in the state. The Tijuana City Council voted recently to declare Wilson persona non grata. </P> "	"nyt_eng_199411.gz"
"8463"	"they"	"contend"	" More than 300 Republican candidates signed the House GOP's ``Contract with America,'' an agenda that promises votes within the first 100 days on 10 items, which, they contend, would produce a smaller, more conservative government. Senate Republicans separately endorsed a ``Seven More In '94'' agenda that contains similar items. </P> "	"nyt_eng_199411.gz"
"9076"	"they"	"contend"	" The Republican position, which Dole called on Sunday for the administration to adopt, is that a capital gains tax would help the entire American economy by encouraging people to sell long-held stocks, bonds and business holdings and invest the proceeds in other, more productive businesses. As these more productive businesses expanded, they contend, the extra tax revenue from them would make up for the money lost in the original tax cuts. </P> "	"nyt_eng_199411.gz"
"13546"	"they"	"contend"	" Defense attorneys questioned whether the videotape program was edited. If so, they contend, the additional footage should be considered along with the program that aired. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950131.0006 type=story > <DATELINE>  (BC-SIMPSON-COURTROOM-2ndtake-LADN) </DATELINE> <TEXT> "	"nyt_eng_199501.gz"
"13547"	"they"	"contend"	" Defense attorneys questioned whether the videotape program was edited. If so, they contend, the additional footage should be considered along with the program that aired. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950131.0008 type=story > <DATELINE> LOS ANGELES  (BC-FATAL-FIRE-LADN) </DATELINE> <TEXT> "	"nyt_eng_199501.gz"
"14587"	"they"	"contend"	" The three executives have agreed not to compete with Saatchi &AMP; Saatchi but have said they will engage in ``preparatory steps'' for joining their new agency. They have countersued Saatchi &AMP; Saatchi, arguing that they should be freed from their contracts, which, they contend, unfairly restrain them from competing. </P> "	"nyt_eng_199502.gz"
"15189"	"they"	"contend"	" With more land needed for food production, they contend, there will be less land for nature, and wildlife will perish. </P> "	"nyt_eng_199502.gz"
"15242"	"they"	"contend"	" At the Massachusetts Institute of Technology, Judith Wurtman and Richard Wurtman, professors of brain and cognitive science, have long held that carbohydrates release serotonin and elevate mood in many people, who become tired and irritable on a high-protein, low-carbohydrate diet. And timing, they contend, is important. </P> "	"nyt_eng_199502.gz"
"15952"	"they"	"contend"	" Disability rights groups argue that the ``reasonable accommodation'' clause of the law by definition prevents the government from imposing ruinous requirements on business. Most accommodations, they contend, can be made with little cost. </P> "	"nyt_eng_199503.gz"
"16382"	"they"	"contend"	" -- Kidder, Peabody's senior managers were so enamoured of the huge profits brought in by Joseph Jett, a government bond trader, that they named him head of the department. It took years for them to realize, they contend, that Jett had taken advantage of faulty accounting systems and inadequate supervision to record $350 million in bogus profits. Last April Kidder dismissed Jett, who continues to maintain his innocence and disputes the Kidder executives' account. The cost: The General Electric Co., Kidder's parent, sold the firm to the Paine Webber Group just months after the scandal began. The investigations continue. </P> "	"nyt_eng_199503.gz"
"16435"	"they"	"contend"	" The authors proceed from the eternal truth that most women want to get married. There are, they contend, certain things a woman must do that she might not normally do to achieve matrimony. Some of The Rules are perfectly sensible. Rule No.23, for instance, Don't Date a Married Man. Or Rule No.15, Don't Rush Into Sex. But others seem dishonest or incredibly calculating, such as Rule No.7, Don't Accept a Saturday Night Date after Wednesday. Even If You're Free. Or Rule No.12, Stop Dating Him If He Doesn't Buy You a Romantic Gift for Your Birthday or Valentine's Day. According to the authors: ``if you don't get jewelry or some other romantic gift on your birthday ... you might as well call it quits because he's not in love with you.'' </P> "	"nyt_eng_199503.gz"
"16449"	"they"	"contend"	" Still, environmental groups remain deeply suspicious of anyone who says that the best prescription for a frail forest is surgery with a chain saw. Much of what `salvage logging' would remove, they contend, is growth that is essential to the forest ecosystem. </P> "	"nyt_eng_199503.gz"
"16527"	"they"	"contend"	" Still, environmental groups remain deeply suspicious of anyone who says that the best prescription for a frail forest is surgery with a chain saw. Much of what `salvage logging' would remove, they contend, is growth that is essential to the forest ecosystem. </P> "	"nyt_eng_199503.gz"
"17060"	"they"	"contend"	" The critics worry the proposal would mean more people and activity on the sensitive island and its federally designated wilderness area -- which, they contend, is already poorly managed by the National Park Service. </P> "	"nyt_eng_199503.gz"
"17418"	"they"	"contend"	" But other, more conservative, computer security workers are aghast at the prospect of an automated software tool like Satan being made available to anyone who wants to look for holes in computer network defenses. Freely distributing Satan, they contend, is like handing a loaded gun to every punk computer vandal in the world. </P> "	"nyt_eng_199503.gz"
"17446"	"they"	"contend"	" But other, more conservative, computer security workers are aghast at the prospect of an automated software tool like Satan being made available to anyone who wants to look for holes in computer network defenses. Freely distributing Satan, they contend, is like handing a loaded gun to every punk computer vandal in the world. </P> "	"nyt_eng_199503.gz"
"17478"	"they"	"contend"	" They say restrictions on people's ability to sue will add injury to injury, bringing joy to negligent doctors and uncaring manufacturers. The threat of a suit, they contend, discourages businesses from making defective products and doctors from being careless, so they oppose the crackdown on tort litigation in the Republican Contract With America. </P> "	"nyt_eng_199503.gz"
"18584"	"they"	"contend"	" In Pinecrest, the incorporation drive has been fueled by fear of crime. Matzner's group calculates that the neighborhood's 15,000 residents pay about $4.4 million every year to the county for police protection. For that amount, they contend, they get just three officers per shift per day to patrol their streets. </P> "	"nyt_eng_199504.gz"
"20453"	"they"	"contend"	" The treatment of Georgia-Pacific, Hoechst Celanese and mining companies, they contend, has made clear some fundamental injustices in how Federal agencies enforce environmental laws. </P> "	"nyt_eng_199504.gz"
"21323"	"they"	"contend"	" No way, the banks say. The savings and loan disaster wasn't their doing, they contend, and they shouldn't have to pay for it. </P> "	"nyt_eng_199505.gz"
"21348"	"they"	"contend"	" At the same time, they contend, he is not without weaknesses. </P> "	"nyt_eng_199505.gz"
"21406"	"they"	"contend"	" On Thursday, lawyers for Simpson claimed that 1.5 milliliters of blood _ 30 drops, more than enough, they contend, to fabricate a case against Simpson _ were missing from the vial. </P> "	"nyt_eng_199505.gz"
