"pronoun"	"verb"	"context"	"filename"
"11581"	"he"	"calculated"	" By the year 2008, he calculated, nearly half the 595,000 full-time college faculty members in the nation are likely to retire. But he said it appeared clear from current trends that not all of them will be replaced by full-time teachers. </P> "	"nyt_eng_199501.gz"
"13824"	"he"	"calculated"	" Cook, a former Mountie himself, said the licensing fees could ``dry up the golden river'' by driving prices too high for customers. A 10 percent increase in the wholesale price of the foot-high wooden Mountie statues, he calculated, would push them as high as $30 (Canadian), or $21 (United States). </P> "	"nyt_eng_199502.gz"
"13952"	"he"	"calculated"	" Cook, a former Mountie himself, said the licensing fees could ``dry up the golden river'' by driving prices too high for customers. A 10 percent increase in the wholesale price of the foot-high wooden Mountie statues, he calculated, would push them as high as $30 (Canadian), or $21 (United States). </P> "	"nyt_eng_199502.gz"
"25165"	"they"	"calculated"	" In addition, they calculated, there are tens of millions of much tinier objects such as chips of spacecraft paint, specks of insulation, camera lens caps, screws, nuts and washers. </P> "	"nyt_eng_199506.gz"
"44525"	"he"	"calculated"	" ``I think Cascade is a good company but Ascend may be biting off more than it can chew,'' he said. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960104.0659 type=multi > <DATELINE>  (BC-PEOPLE-BRIEF-NYT) </DATELINE> <TEXT> OVERDUE DUES (lh) c.1996 N.Y. Times News Service  NEW YORK _ Several months ago, John C. Whitehead, a former deputy secretary of state who was named this week to be chairman of the Federal Reserve Bank of New York, began thinking how to shrink the United States' debt to the United Nations.  If every American shared equally in the $1.1 billion owed in back dues, he calculated, it would come to $4.40 per person. He promptly sent off a check for $44 to Secretary General Boutros Boutros-Ghali with a note explaining that that was what he and his wife and eight children owed.  ``As an American citizen, I have become more and more embarrassed that my country refuses to pay its dues to the United Nations,'' wrote Whitehead, who is chairman of the United Nations Association of the USA. The staff of the organization included the letter in its monthly bulletin. ``Now every day I hear of a few more people who have done what I did,'' Whitehead said Thursday.  Susan R. Mills, the director of the financial management office at the United Nations, said that because contributions were being sent to various offices, it was impossible to estimate the total collected so far, but that about 35 checks had been received.  In his letter to Whitehead, Peter C. Goldmark Jr., the president of the Rockefeller Foundation, wrote, ``I'm a three-child man myself, so my check to the U.N. is a little lower than yours _ $22 to be exact. But I've sent it off today upon learning of what you did.''  Whitehead knows that these contributions are but a drop in a vast ocean of debt. ``In the end,'' he said, ``it certainly won't amount to $1 billion, but we don't have the right not to pay our dues.'' </TEXT> </DOC> <DOC id=NYT_ENG_19960104.0660 type=story > <HEADLINE> AT&AMP;T TO END ITS ON-LINE SERVICE </HEADLINE> <DATELINE>  (BC-AT&AMP;T-INTERNET-NYT) </DATELINE> <TEXT> "	"nyt_eng_199601.gz"
"49145"	"he"	"calculated"	" In 1992, Dr. Thomas Gold of Cornell University proposed that microbes might be ubiquitous throughout the upper few miles of Earth's crust, inhabiting fluid-filled pores, cracks and interstices of rocks while living off Earth's inner heat and chemicals. The total mass of this hidden biosphere, he calculated, might rival or exceed that of all surface life. </P> "	"nyt_eng_199602.gz"
"49212"	"he"	"calculated"	" In 1992, Dr. Thomas Gold of Cornell University proposed that microbes might be ubiquitous throughout the upper few miles of Earth's crust, inhabiting fluid-filled pores, cracks and interstices of rocks while living off Earth's inner heat and chemicals. The total mass of this hidden biosphere, he calculated, might rival or exceed that of all surface life. </P> "	"nyt_eng_199602.gz"
"55213"	"they"	"calculated"	" This old-time religion, they calculated, offended the country's swing voters among middle-class English, snatching defeat from the jaws of victory time and time again. </P> "	"nyt_eng_199604.gz"
"55318"	"they"	"calculated"	" This old-time religion, they calculated, offended the country's swing voters among middle-class English, snatching defeat from the jaws of victory time and time again. </P> "	"nyt_eng_199604.gz"
"55458"	"they"	"calculated"	" This old-time religion, they calculated, offended the country's swing voters among middle-class English, snatching defeat from the jaws of victory time and time again. </P> "	"nyt_eng_199604.gz"
"81317"	"they"	"calculated"	" The two scientists, taking an even bolder step with their computer modeling, last year predicted that the inner core is moving independently. It rotated, they calculated, once every 500 years or so in a complete circle with respect to a point on the Earth's surface. </P> "	"nyt_eng_199612.gz"
"81386"	"they"	"calculated"	" The two scientists, taking an even bolder step with their computer modeling, last year predicted that the inner core is moving independently. It rotated, they calculated, once every 500 years or so in a complete circle with respect to a point on the Earth's surface. </P> "	"nyt_eng_199612.gz"
"121025"	"they"	"calculated"	" The universe, they calculated, is 13.89 billion years old, plus or minus half a billion years. Only 4.8 percent of it is made of ordinary matter. Matter of all types, known and unknown, luminous and dark, accounts for just 27.5 percent. The rest of creation, 72.5 percent, is the mysterious dark energy, they reported in a paper submitted last month to The Monthly Notices of the Royal Astronomical Society. </P> "	"nyt_eng_200207.gz"
"121043"	"they"	"calculated"	" The universe, they calculated, is 13.89 billion years old, plus or minus half a billion years. Only 4.8 percent of it is made of ordinary matter. Matter of all types, known and unknown, luminous and dark, accounts for just 27.5 percent. The rest of creation, 72.5 percent, is the mysterious dark energy, they reported in a paper submitted last month to The Monthly Notices of the Royal Astronomical Society. </P> "	"nyt_eng_200207.gz"
"127383"	"it"	"calculated"	" McCaw and Allen's OneWorld Challenge has a distinctly earnest Seattle vibe. The syndicate washes its boats in rainwater collected in a tub in its Auckland compound. It enlisted crew members to plant 10,000 trees on the volcanic slopes of nearby Rangitoto Island, the number, it calculated, that would compensate for atmospheric damage caused by exhaust from its chase boats. Bob Ratliffe, the executive director of OneWorld, said McCaw had looked into sailing under the flag of the United Nations, but could not do so under the rules. </P> "	"nyt_eng_200210.gz"
"134856"	"it"	"calculated"	" Each year, as holiday spending reaches its seasonal frenzy, a Pennsylvania financial services firm offers its own quirky take on the economy, and this year, it calculated, the gifts spun out in the song _ from a perching partridge to drummers drumming _ would run to $14,558.06. </P> "	"nyt_eng_200212.gz"
"139526"	"he"	"calculated"	" That speed generated so much energy, he calculated, that it must have released more than 300 million pounds of oxygen from the icy particles of Saturn's E ring, one of the seven separate rings that make up the planet's most dazzling feature. </P> "	"nyt_eng_200407.gz"
"148678"	"he"	"calculated"	" I lived in a big house, he said proudly, his bare chest glistening in the tropical morning sun. It was worth about $10,000, he calculated, a lifetime of work lost in an instant. His family, at least, was saved. </P> "	"nyt_eng_200501.gz"
"151299"	"they"	"calculated"	" From 2000 to 2003, they calculated, the presence of the forest bees lifted the plantation's income $60,000 a year. </P> </TEXT> </DOC> <DOC id=NYT_ENG_20050404.0112 type=story > <HEADLINE> CELLULAR PARTICLES COULD AFFECT CLIMATE </HEADLINE> <TEXT> "	"nyt_eng_200504.gz"
