"pronoun"	"verb"	"context"	"filename"
"42975"	"it"	"demands"	" It wants, it demands, it disdains, it rejects. </P> "	"nyt_eng_199512.gz"
"43032"	"it"	"demands"	" It wants, it demands, it disdains, it rejects. </P> "	"nyt_eng_199512.gz"
"43522"	"it"	"demands"	" It wants, it demands, it disdains, it rejects. </P> "	"nyt_eng_199512.gz"
"43575"	"it"	"demands"	" It wants, it demands, it disdains, it rejects. </P> "	"nyt_eng_199512.gz"
"43648"	"it"	"demands"	" It wants, it demands, it disdains, it rejects. </P> "	"nyt_eng_199512.gz"
"43668"	"it"	"demands"	" It wants, it demands, it disdains, it rejects. </P> "	"nyt_eng_199512.gz"
"49724"	"he"	"demands"	" Look, too, he demands, at the banks and the lawyers and the business leaders and the ``transnational corporations whose only loyalty is to the bottom line'' that trample on workers and small-business people. The anger he is tapping is born of more than 20 years of jarring economic changes. </P> "	"nyt_eng_199602.gz"
"49725"	"he"	"demands"	" Look, too, he demands, at the banks and the lawyers and the business leaders and the ``transnational corporations whose only loyalty is to the bottom line'' that trample on workers and small-business people. The anger he is tapping is born of more than 20 years of jarring economic changes. </P> "	"nyt_eng_199602.gz"
"49795"	"he"	"demands"	" Look, too, he demands, at the banks and the lawyers and the business leaders and the ``transnational corporations whose only loyalty is to the bottom line'' that trample on workers and small-business people. The anger he is tapping is born of more than 20 years of jarring economic changes. </P> "	"nyt_eng_199602.gz"
"49796"	"he"	"demands"	" Look, too, he demands, at the banks and the lawyers and the business leaders and the ``transnational corporations whose only loyalty is to the bottom line'' that trample on workers and small-business people. The anger he is tapping is born of more than 20 years of jarring economic changes. </P> "	"nyt_eng_199602.gz"
"105708"	"she"	"demands"	" But, she demands, how could he eat with him at all? This is the gulf, bridged precariously as long as the two are simply talking or in bed. But when she shows Heinrich her notes, he is outraged that her study of his entire life (he was 2 when the war ended) and that of his parents seems aimed exclusively at uncovering Goldhagen-style guilt. </P> "	"nyt_eng_200202.gz"
"108726"	"she"	"demands"	" For once, the female characters actually have something to do, a rarity in movies like this. As Bucum's smart, feisty, little-sisterish assistant, Valerie Rae Miller is energetic, funny and awfully cute. Mendes (``Training Day'') invests her scenes with Epps with loads of snap and sass. Watching Bucum and Reggie work together, she demands, ``What kind of partnership is this? All he does is handcuff you to things.'' </P> "	"nyt_eng_200203.gz"
