"pronoun"	"verb"	"context"	"filename"
"4396"	"he"	"determined"	" Those extra costs, he determined, would be in higher expenses for road maintenance, police protection and other services that are now provided entirely by the state and the county, neither of which would be eager to pick up the higher tab for a booming townmship. </P> "	"nyt_eng_199409.gz"
"4473"	"he"	"determined"	" Those extra costs, he determined, would be in higher expenses for road maintenance, police protection and other services that are now provided entirely by the state and the county, neither of which would be eager to pick up the higher tab for a booming townmship. </P> "	"nyt_eng_199409.gz"
"12515"	"we"	"determined"	" This case is our second encounter with the ADA's preemption clause. In 1992, in Morales, we confronted detailed Travel Industry Enforcement Guidelines, composed by the National Association of Attorneys General (NAAG). The NAAG guidelines purported to govern, inter alia, the content and format of airline fare advertising. See Morales, 504 U. S., at ------- (slip op., at 15-42) (appendix to Court's opinion setting out NAAG guidelines on air travel industry advertising and marketing practices). Several States had endeavored to enforce the NAAG guidelines, under the States' general consumer protection laws, to stop allegedly deceptive airline advertisements. The States' initiative, we determined, ```relat(ed) to (airline) rates, routes, or services,''' id., at --- (slip op., at 8) (quoting 49 U. S. C. App. s1305(a)(1)); consequently, we held, the fare advertising provisions of the NAAG guidelines were preempted by the ADA. Id., at --- (slip op., at 14). </P> "	"nyt_eng_199501.gz"
"18792"	"they"	"determined"	" The president is scheduled to leave Texas on Friday afternoon for Sacramento, Calif. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950406.0326 type=multi > <DATELINE>  (BC-LEAH-PERSONALS-SFCHRON) </DATELINE> <TEXT> ``Pulp Fiction'' director   Rounding out Tarantino's top five for the year: ``Chungking Express,'' a Hong Kong comedy he plans to distribute here; the Japanese crime movie ``Sonatine''; ``Wyatt Earp,'' which he called   Tarantino decried the public's tendency to think of ``Pulp Fiction'' and ``Forrest Gump'' as opposites. `` `Gump' is a very subversive comedy,'' he said, ``because it says that an idiot created everything in America. I mean, what does it teach you, that everyone who tries something dies or falls apart? The guy's a moron, all right? He's just a happy idiot who stumbles into everything. What kind of life lesson is that?''   A profile of   ``Once it's been digested,'' writes   Brown plays the fax machine like   He told the New York Times that he was dragged reluctantly into the project. He also said he is planning to make another videotape, about Hanukkah.   Vogue essayist   Shields rhapsodizes further, describing the terms for frame parts -- rim, bridge, hinge, shield -- as describing ``the distance between me and you, between here and there. ... Some temple parts: bend, shaft, and um, butt portion. ... I love how the long thin temples screw into round liquescent lenses.''   One last point: ``The sexiest thing about glasses is that, the first time you kiss, she lets you take them off and then blinks once, trying to focus.''   Researchers at the University of Sussex and City University of London have made their official report to the British Psychological Society on what it is that people find disgusting. Such things, they determined, fall into five basic areas:   Offal and other animal products; dirty human body parts such as greasy hair; insects such as maggots; gastro-enteric products such as vomit; and sexual activities such as incest.   ``While not all cats like fish, a higher percentage of cats in Japan than in other locales will relish the taste of fish since that is what they are fed almost exclusively. Likewise, dogs in Mexico are more inclined to accept spicy food ... but dogs of the same breeds living in England may refuse such pungent dishes.''   -- Research report from the Waltham Centre for Pet Nutrition in England.  </TEXT> </DOC> <DOC id=NYT_ENG_19950406.0327 type=multi > <DATELINE>  (BC-LEAH-PERSONALS-SFCHRON) </DATELINE> <TEXT> ``Pulp Fiction'' director   Rounding out Tarantino's top five for the year: ``Chungking Express,'' a Hong Kong comedy he plans to distribute here; the Japanese crime movie ``Sonatine''; ``Wyatt Earp,'' which he called   Tarantino decried the public's tendency to think of ``Pulp Fiction'' and ``Forrest Gump'' as opposites. `` `Gump' is a very subversive comedy,'' he said, ``because it says that an idiot created everything in America. I mean, what does it teach you, that everyone who tries something dies or falls apart? The guy's a moron, all right? He's just a happy idiot who stumbles into everything. What kind of life lesson is that?''   A profile of   ``Once it's been digested,'' writes   Brown plays the fax machine like   He told the New York Times that he was dragged reluctantly into the project. He also said he is planning to make another videotape, about Hanukkah.   Vogue essayist   Shields rhapsodizes further, describing the terms for frame parts -- rim, bridge, hinge, shield -- as describing ``the distance between me and you, between here and there. ... Some temple parts: bend, shaft, and um, butt portion. ... I love how the long thin temples screw into round liquescent lenses.''   One last point: ``The sexiest thing about glasses is that, the first time you kiss, she lets you take them off and then blinks once, trying to focus.''   Researchers at the University of Sussex and City University of London have made their official report to the British Psychological Society on what it is that people find disgusting. Such things, they determined, fall into five basic areas:   Offal and other animal products; dirty human body parts such as greasy hair; insects such as maggots; gastro-enteric products such as vomit; and sexual activities such as incest.   ``While not all cats like fish, a higher percentage of cats in Japan than in other locales will relish the taste of fish since that is what they are fed almost exclusively. Likewise, dogs in Mexico are more inclined to accept spicy food ... but dogs of the same breeds living in England may refuse such pungent dishes.''   -- Research report from the Waltham Centre for Pet Nutrition in England.  </TEXT> </DOC> <DOC id=NYT_ENG_19950406.0328 type=story > <HEADLINE> WINNING STREAK HAS CELTICS LOOKING TO PLAYOFFS </HEADLINE> <DATELINE> BOSTON  (BC-BKN-CELTICS-BOS) </DATELINE> <TEXT> "	"nyt_eng_199504.gz"
"48549"	"he"	"determined"	" In a new analytical approach to the problem, Dr. Garmon Harbottle, a physicist at the Brookhaven National Laboratory in Upton, N.Y., conducted a statistical analysis of data from Cahill's group, looking for any patterns in the distribution of chemical elements over the map. The composition of the ink was uniform, he determined, except for one place on the map _ the part pertaining to Vinland itself and the legend above it. </P> "	"nyt_eng_199602.gz"
"54748"	"they"	"determined"	" That wobble, they determined, was being caused by a large planet racing around the star in a tight, four-day orbit. </P> "	"nyt_eng_199604.gz"
"54749"	"they"	"determined"	" That wobble, they determined, was being caused by a large planet racing around the star in a tight, four-day orbit. </P> "	"nyt_eng_199604.gz"
"54879"	"they"	"determined"	" That wobble, they determined, was being caused by a large planet racing around the star in a tight, four-day orbit. </P> "	"nyt_eng_199604.gz"
"54880"	"they"	"determined"	" That wobble, they determined, was being caused by a large planet racing around the star in a tight, four-day orbit. </P> "	"nyt_eng_199604.gz"
"55019"	"they"	"determined"	" That wobble, they determined, was being caused by a large planet racing around the star in a tight, four-day orbit. </P> "	"nyt_eng_199604.gz"
