"pronoun"	"verb"	"context"	"filename"
"7008"	"he"	"estimates"	" Mike Hance expected to get a good night's sleep Wednesday after two days of ferrying flood victims to safety -- more than a hundred, he estimates, including one armadillo, 13 cats and four dogs. </P> "	"nyt_eng_199410.gz"
"7679"	"she"	"estimates"	" Ms. Rivlin's memo lays out the peril: by CBO estimates, the deficit will be 2.3 percent of the gross domestic product in fiscal 1995, which began Oct. 1. It will rise to 3.6 percent, or $397 billion, by 2004. By 2020, she estimates, the deficit will run close to $1.5 trillion a year. </P> "	"nyt_eng_199410.gz"
"7681"	"she"	"estimates"	" Ms. Rivlin's memo lays out the peril: by CBO estimates, the deficit will be 2.3 percent of the gross domestic product in fiscal 1995, which began Oct. 1. It will rise to 3.6 percent, or $397 billion, by 2004. By 2020, she estimates, the deficit will run close to $1.5 trillion a year. </P> "	"nyt_eng_199410.gz"
"7767"	"she"	"estimates"	" Ms. Rivlin's memo lays out the peril: by CBO estimates, the deficit will be 2.3 percent of the gross domestic product in fiscal 1995, which began Oct. 1. It will rise to 3.6 percent, or $397 billion, by 2004. By 2020, she estimates, the deficit will run close to $1.5 trillion a year. </P> "	"nyt_eng_199410.gz"
"7899"	"he"	"estimates"	" Doyle notes that for-profit concerns must not only pay taxes on earnings and property but also generate returns that will please their investors. As a result, he estimates, they are burdened with expenses that can exceed those of nonprofits by 30 to 50 percent. </P> "	"nyt_eng_199411.gz"
"19199"	"he"	"estimates"	" In the early going this spring, Jones' recovery seems virtually complete, but he has just two more weeks to confirm that and learn a new position. In workouts, he has not yet made throws from third to first, and it'll be most interesting to see what happens when he does. As a minor-league shortstop, his throws were, to say the least, erratic -- causing, he estimates, 75 percent of his far-too-numerous errors. </P> "	"nyt_eng_199504.gz"
"22036"	"he"	"estimates"	" George T. Shaheen, managing partner of Andersen Consulting, espouses the gospel of the virtual office. With an around-the-world itinerary and stayovers at hotels like the George V and the Plaza Athenee in Paris, he is on the road, he estimates, 90 percent of the time. He has no one business base. He owns a house in Atherton, Calif. But he has offices in New York, Chicago, Palo Alto, Calif., and points beyond. </P> "	"nyt_eng_199505.gz"
"25614"	"he"	"estimates"	" ``They like to run,'' Botter says. The birds can get up to 35 or 40 mph, he estimates, based on two days of chasing one that escaped from a pen. </P> "	"nyt_eng_199506.gz"
"30966"	"he"	"estimates"	" In fact, Brockway, says he's never done much of anything else. Over the last 60 years, he estimates, he has built more than 5,000 boats. </P> "	"nyt_eng_199508.gz"
"32563"	"he"	"estimates"	" Matt Dorsey, a Washington-based political consultant, has had better luck with his ``Newt Watch'' site, a collection of ethics complaints, PAC contributions, corporate connections and news articles. Some 25,000 people a month visit the World Wide Web site, he estimates, close to what the Playboy home page receives. </P> "	"nyt_eng_199508.gz"
