"pronoun"	"verb"	"context"	"filename"
"198"	"it"	"should"	" ``New York is a gravy-stained, spit-flecked, bituminous, rough-necked livid place that we fall into in his pages, and if that sounds familiar, it should,'' the historian Simon Schama wrote of Doctorow in The New York Times Book Review, adding that the Doctorovian past ``is plainly held up as a mirror in which we are meant to see our own time and manners.'' </P> "	"nyt_eng_199407.gz"
"6597"	"he"	"should"	" ``I feel like if he feels he needs to take a couple of days off because he's not feeling well, he should, instead of endangering other (jockeys).'' </P> "	"nyt_eng_199410.gz"
"13816"	"you"	"should"	" ``If you can help someone continue living, you should,'' Young says. ``After all, you don't need the organs. When your soul goes to heaven, you're not going to use them -- why not give someone your body parts.'' </P> "	"nyt_eng_199502.gz"
"17683"	"you"	"should"	" As money rushes into an area, the stocks get bid up in price and small investors get in just as the market is peaking. ``The best advice is that whatever sector is most popular now is not a good near-term bet,'' said John Rekenthaler, the associate publisher for Morningstar. Even if the fund group can't resist the temptation to try to capitalize on a hot new sector by bringing out its very own fund in that area, you should, analysts say. </P> "	"nyt_eng_199503.gz"
"24889"	"we"	"should"	" ``I am here because of tax equity,'' said Suzanne Pease, who runs a graphic design firm in Morganville, New Jersey. ``We should have the same rules as big corporations. If they can treat medical expenses as a business expense, we should, too.'' </P> "	"nyt_eng_199506.gz"
"26025"	"they"	"should"	" ``The trade deficit is a very important battle for them to win and whatever tools they have to resort to, they should,'' said Alan Vine, corporate strategist at Merrill Lynch. </P> "	"nyt_eng_199506.gz"
"26034"	"they"	"should"	" ``The trade deficit is a very important battle for them to win and whatever tools they have to resort to, they should,'' said Alan Vine, corporate strategist at Merrill Lynch. </P> "	"nyt_eng_199506.gz"
"26041"	"they"	"should"	" ``The trade deficit is a very important battle for them to win and whatever tools they have to resort to, they should,'' said Alan Vine, corporate strategist at Merrill Lynch. </P> "	"nyt_eng_199506.gz"
"31079"	"it"	"should"	" If that sounds familiar, it should, because Tinners Way also won last year's Pacific Classic. Sunday was only the fifth running of the Pacific Classic and Frankel has won the last four. His first two winners were Missionary Ridge and Bertrando. </P> "	"nyt_eng_199508.gz"
"45375"	"we"	"should"	" ``We're going to raise the debt ceiling; in my opinion, we should,'' Kasich said. ``My sense is you don't want to mess around with defaulting here in the United States.'' </P> "	"nyt_eng_199601.gz"
"64092"	"you"	"should"	" ``If you can make a movie in Chinese, Spanish or Indian, you should,'' Gill said. ``These are the populations that are growing. Since we're looking at tremendous growth in the U.S. in the Hispanic movie going public, it stands to reason that we'll make films geared to that audience.'' </P> "	"nyt_eng_199607.gz"
"64152"	"you"	"should"	" ``If you can make a movie in Chinese, Spanish or Indian, you should,'' Gill said. ``These are the populations that are growing. Since we're looking at tremendous growth in the U.S. in the Hispanic movie going public, it stands to reason that we'll make films geared to that audience.'' </P> "	"nyt_eng_199607.gz"
"66764"	"you"	"should"	" Occasionally, readers will send e-mail messages about a software program or piece of equipment they think might be interesting. A few weeks ago, a flurry of those suggestions came rolling in, all on one subject. ``If you haven't downloaded the new version of America Online 3.0, you should,'' was the basic theme. </P> "	"nyt_eng_199608.gz"
"67095"	"you"	"should"	" Occasionally, readers will send e-mail messages about a software program or piece of equipment they think might be interesting. A few weeks ago, a flurry of those suggestions came rolling in, all on one subject. ``If you haven't downloaded the new version of America Online 3.0, you should,'' was the basic theme. </P> "	"nyt_eng_199608.gz"
"73668"	"they"	"should"	" Defense lawyers say that if doctors insist on taping, they should, at the very least, tape everyone and keep all the tapes. If not, they open themselves to charges that the very tapes they did not keep were the incriminating ones. And for heaven's sake, the lawyers say, they shouldn't provide an audiotaped narrative as they go along. </P> "	"nyt_eng_199610.gz"
"73776"	"they"	"should"	" Defense lawyers say that if doctors insist on taping, they should, at the very least, tape everyone and keep all the tapes. If not, they open themselves to charges that the very tapes they did not keep were the incriminating ones. And for heaven's sake, the lawyers say, they shouldn't provide an audiotaped narrative as they go along. </P> "	"nyt_eng_199610.gz"
"73825"	"they"	"should"	" Defense lawyers say that if doctors insist on taping, they should, at the very least, tape everyone and keep all the tapes. If not, they open themselves to charges that the very tapes they did not keep were the incriminating ones. And for heaven's sake, the lawyers say, they shouldn't provide an audiotaped narrative as they go along. </P> "	"nyt_eng_199610.gz"
