"pronoun"	"verb"	"context"	"filename"
"26678"	"he"	"urged"	" The most one can say, he urged, is that such evidence was ``similar to'' or ``consistent with.'' </P> "	"nyt_eng_199506.gz"
"50429"	"she"	"urged"	" The lesson for larger public high schools, she urged, is breaking down the big numbers _ even if it means one school per floor. </P> "	"nyt_eng_199603.gz"
"55989"	"we"	"urged"	" Last week, Billy Payne, president and CEO of the Atlanta Committee on the Olympic Games, addressed the committee's board of directors and employees on the occasion of our 100- days-until-the-Games observance and made a startling confession. He had, for the first time that anyone could remember, been swayed by advisers like me to lower his sights and just ``get through the Games.'' My counsel, and that from others close to him, was that no individual had done more for our city and our state, had risked more personally and financially, had taken more public criticism, set higher goals and then achieved them than had Payne. Therefore, we urged, don't sweat the details. You've achieved basically what you set out to do nine years ago. Sure, some things won't be as good as you will want them to be, but the Games will come and go and nobody will remember. </P> "	"nyt_eng_199604.gz"
"55993"	"we"	"urged"	" Last week, Billy Payne, president and CEO of the Atlanta Committee on the Olympic Games, addressed the committee's board of directors and employees on the occasion of our 100- days-until-the-Games observance and made a startling confession. He had, for the first time that anyone could remember, been swayed by advisers like me to lower his sights and just ``get through the Games.'' My counsel, and that from others close to him, was that no individual had done more for our city and our state, had risked more personally and financially, had taken more public criticism, set higher goals and then achieved them than had Payne. Therefore, we urged, don't sweat the details. You've achieved basically what you set out to do nine years ago. Sure, some things won't be as good as you will want them to be, but the Games will come and go and nobody will remember. </P> "	"nyt_eng_199604.gz"
"63848"	"he"	"urged"	" ``It is simply a cold-blooded assessment of the present situation,'' Laney added. Engagement, he urged, can ``help stave off a worst-case scenario'' of a second Korean war. </P> "	"nyt_eng_199607.gz"
"63900"	"he"	"urged"	" ``It is simply a cold-blooded assessment of the present situation,'' Laney added. Engagement, he urged, can ``help stave off a worst-case scenario'' of a second Korean war. </P> "	"nyt_eng_199607.gz"
"90720"	"he"	"urged"	" ``We are embarking on a new relationship between our nations whose principal basis will be a new communication, but there will certainly be fierce battles,'' said German Sierra, secretary of the Foreign Relations Committee in the Mexican Senate. Nonetheless, he urged, ``We should always think in terms of achieving accords. Both of our people are demanding this.'' </P> "	"nyt_eng_200104.gz"
"90738"	"he"	"urged"	" ``We are embarking on a new relationship between our nations whose principal basis will be a new communication, but there will certainly be fierce battles,'' said German Sierra, secretary of the Foreign Relations Committee in the Mexican Senate. Nonetheless, he urged, ``We should always think in terms of achieving accords. Both of our people are demanding this.'' </P> "	"nyt_eng_200104.gz"
"106337"	"he"	"urged"	" Even with those priorities, he urged, Congress should ``be concerned about protecting our fans and communities'' from monopolistic baseball owners. </P> "	"nyt_eng_200202.gz"
"106338"	"he"	"urged"	" Even with those priorities, he urged, Congress should ``be concerned about protecting our fans and communities'' from monopolistic baseball owners. </P> "	"nyt_eng_200202.gz"
"120995"	"she"	"urged"	" Catherine also described how some colleagues at the hospital had averted their glances when she approached. Friends, she urged, should not avoid the sick. These people had the same right to speak with her as they always had, and should be willing to do so. Just asking how she was doing, Catherine said, would be OK. </P> "	"nyt_eng_200207.gz"
"138467"	"she"	"urged"	" Shriver said she told voters, ``If you don't vote for Arnold, it's totally cool for me because I'll get him back full time.'' However, she urged, ``if he wins, you win.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_20031009.0007 type=story > <HEADLINE> OU DEFENSE NEEDS `COMPLETE GAME' </HEADLINE> <DATELINE> NORMAN, Okla.  (BC-FBC-OU-NOTES-TEX) </DATELINE> <TEXT> "	"nyt_eng_200310.gz"
"168284"	"he"	"urged"	" In fashion, You've gotta have a gimmick, like the stripper said, Wolfe observed. Think, he urged, of the rigidly stylized signature look of magazine legends like Diana Vreeland, with her kabuki makeup and tar-colored hair, or celebrity editors like Anna Wintour, whose dark glasses and precision-cut bangs shield a profile of cut glass. </P> "	"nyt_eng_200606.gz"
