"pronoun"	"verb"	"context"	"filename"
"455"	"she"	"charged"	" In February 1993, she charged, Abequa had threatened to kill her during an argument, said W. Michael Murphy, the Morris County prosecutor. </P> "	"nyt_eng_199407.gz"
"4929"	"they"	"charged"	" The government, they charged, made death threats to keep knowledgeable people quiet. </P> "	"nyt_eng_199409.gz"
"5713"	"they"	"charged"	" Sequestering, they charged, ``makes police and prosecutors the beneficiaries of their own misconduct, and creates an incentive which will encourage prosecutorial leaks as a strategic ploy.'' </P> "	"nyt_eng_199409.gz"
"9182"	"he"	"charged"	" The privilege against compelled self-incrimination, said the dean of Harvard Law School, is ``one of the great landmarks in man's long struggle to make himself civilized.'' Forty years ago, when Erwin Griswold spoke out in that manner, not many were willing to defend the Bill of Rights against Sen. Joseph McCarthy, who railed against what he called ``Fifth-Amendment Communists'' -- traitors, he charged, hiding behind their rights. </P> "	"nyt_eng_199411.gz"
"11335"	"he"	"charged"	" Pierson said his client, a former resident of Troy, N.Y., who lives with his wife and four children in New Hampshire, received $4,050,000 as his share of the settlement, and $225,000 from the state for ``being forced to resign'' from a job that, he charged, was part of a state fraud against the government. </P> "	"nyt_eng_199412.gz"
"12288"	"they"	"charged"	" As part of the conspiracy, the accusers added, the Justice Department under Attorneys General Dick Thornburgh and then William Barr tried to narrow the case against BNL by naming Drogoul as the highest-ranking BNL official involved. The motive, they charged, was politcal damage control. If the investigation went no higher than Drogoul, the dimensions of any conspiracy to secretly supply arms to Iraq would remain undetected. </P> "	"nyt_eng_199501.gz"
"12289"	"they"	"charged"	" As part of the conspiracy, the accusers added, the Justice Department under Attorneys General Dick Thornburgh and then William Barr tried to narrow the case against BNL by naming Drogoul as the highest-ranking BNL official involved. The motive, they charged, was politcal damage control. If the investigation went no higher than Drogoul, the dimensions of any conspiracy to secretly supply arms to Iraq would remain undetected. </P> "	"nyt_eng_199501.gz"
"12294"	"they"	"charged"	" As part of the conspiracy, the accusers added, the Justice Department under Attorneys General Dick Thornburgh and then William Barr tried to narrow the case against BNL by naming Drogoul as the highest-ranking BNL official involved. The motive, they charged, was politcal damage control. If the investigation went no higher than Drogoul, the dimensions of any conspiracy to secretly supply arms to Iraq would remain undetected. </P> "	"nyt_eng_199501.gz"
"12954"	"he"	"charged"	" Thus, in his resignation statement, Olechowski pointed his finger at the former communist members of the government who, he charged, were no longer pressing for Poland to be admitted to the Atlantic Alliance. </P> "	"nyt_eng_199501.gz"
"13036"	"she"	"charged"	" But instead, she charged, Clinton has proposed ``even more government spending'' and ``imposed the biggest tax increase in American history'' -- assertions disputed by Democrats. </P> "	"nyt_eng_199501.gz"
"13128"	"he"	"charged"	" Just about the first person Cochran mentioned by name, after Martin Luther King, Lincoln and Cicero, was Mark Fuhrman, the police detective who inspected the crime scene and later, found matching glove on Simpson's estate, and who the defense contends is a racist. The prosecution was hiding Fuhrman, he charged, but the defense would smoke him out. </P> "	"nyt_eng_199501.gz"
