"pronoun"	"verb"	"context"	"filename"
"5307"	"he"	"warns"	" In the current standoff with the Serbs over their decision to cut off utilities in Sarajevo, Rose has found himself confronted once again by the quandary that has confounded international efforts to end the Bosnian War. Turn up military pressure on the Serbs, he warns, and the tens of thousands of U.N. peacekeepers under his command in Bosnia could become targets of reprisals. </P> "	"nyt_eng_199409.gz"
"5549"	"she"	"warns"	" But if the defense gives an inch on any speedy trial issue, she warns, it may weaken any later speedy trial challenges they might want to make. </P> "	"nyt_eng_199409.gz"
"20154"	"he"	"warns"	" He said he would like to trade up and snare a quality wide receiver. That is supposedly his top priority. If he can't do that, maybe he'll keep the 16th pick and take an offensive lineman, which are plentiful. Maybe he'll take a tight end. Don't be surprised, he warns, if he even picks a defensive tackle. </P> "	"nyt_eng_199504.gz"
"20921"	"it"	"warns"	" Koernke preaches a scenario familiar to anyone on the information ``vine'' of the extremist right. A pcoup d'etat, it warns, is coming, and soon. </P> "	"nyt_eng_199505.gz"
"21324"	"he"	"warns"	" Whatever path they choose, defecting institutions will ``create a death spiral of the thrift industry,'' says Gilkey, who is serving on a task force advising the head of the FDIC on the issue. At some point, he warns, there will be so few thrifts that the funds will have to be merged. Taxpayers might also be tapped again. </P> "	"nyt_eng_199505.gz"
"23002"	"he"	"warns"	" Clarence Williams III, in a performance that starts out over-the-top and gradually modulates to a quieter scariness, plays the proprietor of a mortuary where three young hoodlums (De'Aundre Bonds, Joe Torry and Samuel Monroe Jr.) intend to retrieve a cache of illicit dope. If he is to admit them, he warns, then they must listen to his stories. </P> "	"nyt_eng_199505.gz"
"23571"	"he"	"warns"	" If necessary, he warns, all Japanese cities will receive the Tokyo fire bomb treatment. He asks American civilians to abstain from travel during the mass movement of troops to the Pacific. War workers on the home front are urged to mai ntain a high level of production. </P> "	"nyt_eng_199505.gz"
"23843"	"he"	"warns"	" In the speech, Faulkner speaks of his ``life's work in the agony and sweat of the human spirit'' and rails against those who accept the unavoidable end of mankind. The artist, he warns, bears a special responsibility to speak the universal truths. </P> "	"nyt_eng_199506.gz"
"26098"	"she"	"warns"	" And cooperation can make things still cheaper. ``The more information you and your spouse voluntarily share, the less expensive divorce is likely to be,'' Ms. Engel writes. And remember, she warns, ``money spent for services solely to obtain ego satisfaction comes from money available to you, your spouse and your children.'' </P> "	"nyt_eng_199506.gz"
"26146"	"she"	"warns"	" And cooperation can make things still cheaper. ``The more information you and your spouse voluntarily share, the less expensive divorce is likely to be,'' Ms. Engel writes. And remember, she warns, ``money spent for services solely to obtain ego satisfaction comes from money available to you, your spouse and your children.'' </P> "	"nyt_eng_199506.gz"
