"pronoun"	"verb"	"context"	"filename"
"335"	"I"	"assume"	" Because it isn't a climber I am not coveting the Louise rose, although I love the story. But you just can't walk into an old graveyard and willy-nilly take cuttings from roses, Ms. Raver warns. You must get permission from the owner, who, I assume, is the next of kin of the occupant of the grave. The Brooklyn Botanic crowd also gets permission from sextons, if any. </P> "	"nyt_eng_199407.gz"
"787"	"I"	"assume"	" There's a way to get on the pedestrian path, I assume, because there IS a pedestrian path, but every time I've made the trip, hurtling downhill, I've missed it and found myself pedaling madly to get beyond the 200 or so yards of narrow roadway that has no shoulder at all but does have four lanes of rushing traffic. </P> "	"nyt_eng_199407.gz"
"790"	"I"	"assume"	" There's a way to get on the pedestrian path, I assume, because there IS a pedestrian path, but every time I've made the trip, hurtling downhill, I've missed it and found myself pedaling madly to get beyond the 200 or so yards of narrow roadway that has no shoulder at all but does have four lanes of rushing traffic. </P> "	"nyt_eng_199407.gz"
"5248"	"we"	"assume"	" You expect hardwood cutting boards and genuine maple syrup for sale in the lobby as you leave. It is handsomely photographed and, we assume, authentic as all get-out. It's also repetitive and, because of that, eventually a bit lulling. </P> "	"nyt_eng_199409.gz"
"5389"	"I"	"assume"	" But what really sticks in my craw is the remark that if someone wants medical care, they can get a job like everyone else or go down to the county hospital, which, I assume, is her generic term for Medicaid. </P> "	"nyt_eng_199409.gz"
"5399"	"I"	"assume"	" But what really sticks in my craw is the remark that if someone wants medical care, they can get a job like everyone else or go down to the county hospital, which, I assume, is her generic term for Medicaid. </P> "	"nyt_eng_199409.gz"
"6176"	"I"	"assume"	" She had stuffed this trout she had caught herself with herbs she had grown herself, then poached it in wine. Store-bought, I assume, but maybe not. For dessert, she served cherry pie she had made herself from cherries she had grown herself on her own cherry tree out front, which she had planted herself, all with her own two little hands upon one of which she wears a beautifully crafted gold ring she made herself. </P> "	"nyt_eng_199410.gz"
"9534"	"I"	"assume"	" We are in Tennessee Williams country, but not in ``The Glass Menagerie.'' Rather, it's ``The Glass Menagerie'' as reimagined by the playwright Christopher Durang after, I assume, being grossed out by three or four too many second-rate ``Menageries.'' </P> "	"nyt_eng_199411.gz"
"9569"	"I"	"assume"	" We are in Tennessee Williams country, but not in ``The Glass Menagerie.'' Rather, it's ``The Glass Menagerie'' as reimagined by the playwright Christopher Durang after, I assume, being grossed out by three or four too many second-rate ``Menageries.'' </P> "	"nyt_eng_199411.gz"
"9962"	"I"	"assume"	" In the finale, snow cascades not only on the stage but also on those same down-front patrons. The effect is very pretty and, I assume, even prettier if you aren't underneath it. </P> "	"nyt_eng_199412.gz"
