"pronoun"	"verb"	"context"	"filename"
"8136"	"he"	"demanded"	" Back in his corner office on the 23rd floor of the Westinghouse Electric Corp.'s headquarters here, Jordan began asking some pointed questions. What other unpleasant surprises were lurking out there, he demanded, masked by an imprecise financial reporting system? </P> "	"nyt_eng_199411.gz"
"10761"	"they"	"demanded"	" Where, they demanded, was the evidence of such a bomb attack? In fact, no such evidence was in sight. </P> "	"nyt_eng_199412.gz"
"10767"	"they"	"demanded"	" Where, they demanded, was the evidence of such a bomb attack? In fact, no such evidence was in sight. </P> "	"nyt_eng_199412.gz"
"45678"	"she"	"demanded"	" OK, she demanded, since this is ``Melrose Place'' and the story line involved blackmail. </P> "	"nyt_eng_199601.gz"
"46169"	"she"	"demanded"	" OK, she demanded, since this is ``Melrose Place'' and the story line involved blackmail. </P> "	"nyt_eng_199601.gz"
"46888"	"she"	"demanded"	" She slammed the man against the wall. Baxter, a weightlifter, then grabbed the man's testicles as hard as she could. With her face a few inches away from his, she demanded, ``How do you like it?'' </P> "	"nyt_eng_199601.gz"
"47002"	"she"	"demanded"	" She slammed the man against the wall. Baxter, a weightlifter, then grabbed the man's testicles as hard as she could. With her face a few inches away from his, she demanded, ``How do you like it?'' </P> "	"nyt_eng_199601.gz"
"47992"	"she"	"demanded"	" OK, she demanded, since this is ``Melrose Place'' and the story line involved blackmail. </P> "	"nyt_eng_199602.gz"
"48659"	"she"	"demanded"	" OK, she demanded, since this is ``Melrose Place'' and the story line involved blackmail. </P> "	"nyt_eng_199602.gz"
"48931"	"she"	"demanded"	" OK, she demanded, since this is ``Melrose Place'' and the story line involved blackmail. </P> "	"nyt_eng_199602.gz"
"49399"	"she"	"demanded"	" OK, she demanded, since this is ``Melrose Place'' and the story line involved blackmail. </P> "	"nyt_eng_199602.gz"
"50382"	"she"	"demanded"	" OK, she demanded, since this is ``Melrose Place'' and the story line involved blackmail. </P> "	"nyt_eng_199603.gz"
"64060"	"he"	"demanded"	" Netanyahu is prime minister today because he pointed out that the emperor was naked. What kind of a ``peace'' is this, he demanded, when commuters are dying on their way to work? Terrorism is incompatible with peace; true peacemakers do not harbor terrorist groups. It was an argument that resonated deeply with Israeli Jews, almost 60 percent of whom voted for Netanyahu. With 19 US servicemen newly murdered in Dhahran, it is an argument that will resonate with Americans as well. Expect to hear it this week. </P> "	"nyt_eng_199607.gz"
"64138"	"he"	"demanded"	" Netanyahu is prime minister today because he pointed out that the emperor was naked. What kind of a ``peace'' is this, he demanded, when commuters are dying on their way to work? Terrorism is incompatible with peace; true peacemakers do not harbor terrorist groups. It was an argument that resonated deeply with Israeli Jews, almost 60 percent of whom voted for Netanyahu. With 19 US servicemen newly murdered in Dhahran, it is an argument that will resonate with Americans as well. Expect to hear it this week. </P> "	"nyt_eng_199607.gz"
"64187"	"he"	"demanded"	" Netanyahu is prime minister today because he pointed out that the emperor was naked. What kind of a ``peace'' is this, he demanded, when commuters are dying on their way to work? Terrorism is incompatible with peace; true peacemakers do not harbor terrorist groups. It was an argument that resonated deeply with Israeli Jews, almost 60 percent of whom voted for Netanyahu. With 19 US servicemen newly murdered in Dhahran, it is an argument that will resonate with Americans as well. Expect to hear it this week. </P> "	"nyt_eng_199607.gz"
"64262"	"he"	"demanded"	" Netanyahu is prime minister today because he pointed out that the emperor was naked. What kind of a ``peace'' is this, he demanded, when commuters are dying on their way to work? Terrorism is incompatible with peace; true peacemakers do not harbor terrorist groups. It was an argument that resonated deeply with Israeli Jews, almost 60 percent of whom voted for Netanyahu. With 19 US servicemen newly murdered in Dhahran, it is an argument that will resonate with Americans as well. Expect to hear it this week. </P> "	"nyt_eng_199607.gz"
"76251"	"he"	"demanded"	" When Dole once again challenged questionable foreign donations to the Democratic National Committee, he did it with a new twist: Why, he demanded, were the overseas benefactors not sharing their largesse with Dole's party? ``I don't believe in discrimination,'' Dole said. ``And they're discriminating against the Republican Party, obviously. </P> "	"nyt_eng_199610.gz"
"76939"	"they"	"demanded"	" Why, they demanded, had I walked away when they hollered for help? </P> "	"nyt_eng_199611.gz"
"76940"	"they"	"demanded"	" Why, they demanded, had I walked away when they hollered for help? </P> "	"nyt_eng_199611.gz"
"77089"	"they"	"demanded"	" Why, they demanded, had I walked away when they hollered for help? </P> "	"nyt_eng_199611.gz"
"77090"	"they"	"demanded"	" Why, they demanded, had I walked away when they hollered for help? </P> "	"nyt_eng_199611.gz"
"77359"	"they"	"demanded"	" Why, they demanded, had I walked away when they hollered for help? </P> "	"nyt_eng_199611.gz"
"77360"	"they"	"demanded"	" Why, they demanded, had I walked away when they hollered for help? </P> "	"nyt_eng_199611.gz"
"78441"	"they"	"demanded"	" Why, they demanded, had I walked away when they hollered for help? </P> "	"nyt_eng_199611.gz"
"78442"	"they"	"demanded"	" Why, they demanded, had I walked away when they hollered for help? </P> "	"nyt_eng_199611.gz"
"165548"	"they"	"demanded"	" On Tuesday, victims' relatives ambushed the state's chief minister, Mulayam Singh Yadav, pelting him with rocks. Why, they demanded, had basic safety standards been so callously flouted? </P> "	"nyt_eng_200604.gz"
"165774"	"they"	"demanded"	" The Granny Peace Brigade, they call themselves. Last October, they descended on the armed forces recruiting station in Times Square. They wanted to enlist, they said. They've been around. Send them to Iraq, they demanded, instead of some 20-year-old who has barely tasted life. </P> "	"nyt_eng_200604.gz"
"173301"	"he"	"demanded"	" Why, he demanded, had Iraq fallen off the front pages and the evening news, replaced by President Bush's weeklong commemoration of the Sept. 11 anniversary? How could Democrats win if this unpopular war was fought uncovered? As he headed inside for dinner, Emanuel pronounced himself as despondent about his party's hopes as he had been all year. </P> "	"nyt_eng_200611.gz"
"173307"	"he"	"demanded"	" Why, he demanded, had Iraq fallen off the front pages and the evening news, replaced by President Bush's weeklong commemoration of the Sept. 11 anniversary? How could Democrats win if this unpopular war was fought uncovered? As he headed inside for dinner, Emanuel pronounced himself as despondent about his party's hopes as he had been all year. </P> "	"nyt_eng_200611.gz"
