"pronoun"	"verb"	"context"	"filename"
"4399"	"it"	"appeared"	" Chief Hill and other investigators said the police had suspected an inside job from the start. The robbers, it appeared, knew too much about Tiffany's security systems, the way its electronic alarms worked, the location of keys and video cameras, including a hidden backup video system that only an insider could know about. </P> "	"nyt_eng_199409.gz"
"6745"	"it"	"appeared"	" Feeling persecuted and apparently convinced the Apocalypse was near, Jouret and di Mambro, it appeared, decided which sect members were to be ``saved'' by death. </P> "	"nyt_eng_199410.gz"
"6827"	"it"	"appeared"	" Feeling persecuted and apparently convinced the Apocalypse was near, Jouret and di Mambro, it appeared, decided which sect members were to be ``saved'' by death. </P> "	"nyt_eng_199410.gz"
"13366"	"it"	"appeared"	" As Hodgman and, after his incapacitation, Darden, made their complaints, Ito listened almost, it appeared, with amusement. ``Mr. Douglas, how do you suggest I deal with the prosecution as soon as I finish peeling them off the ceiling?'' he asked the defense lawyer who took the blame for the infraction. </P> "	"nyt_eng_199501.gz"
"16421"	"it"	"appeared"	" ``New pages (written, in the final stage, by Neal Jimenez) were spit out of the fax machine at 4:30 every morning,'' Hoffman recalled, it appeared, fondly. ``It was a very collaborative process in which the actors who were shooting that day would gather early with Wolfgang and we would work the material. </P> "	"nyt_eng_199503.gz"
"16579"	"it"	"appeared"	" Ms. Clark moved deliberately all day -- intent, it appeared, not to get to the glove, or to let Bailey get to her witness -- before the weekend. She and Fuhrman moved through and Mrs. Simpson's homes slowly, and as the noon adjournment hour approached, their pace slowed down to only a few feet per minute. </P> "	"nyt_eng_199503.gz"
"16879"	"it"	"appeared"	" Davis played his first game in Syracuse, and the chemistry, it appeared, was missing. Davis had a decent game, but neither he nor Blair knew exactly what his role would be. UA lost by 10 points. </P> "	"nyt_eng_199503.gz"
"18042"	"he"	"appeared"	" There, he rang Simpson's bell again, and again there was no response. Only around 11 p.m. did Simpson answer the bell. Shortly thereafter, he appeared, wearing stonewashed jeans, a white polo shirt and a black coat. </P> "	"nyt_eng_199503.gz"
"19514"	"it"	"appeared"	" A year ago, the government's ergonomic program seemed a sure thing. The rule-writing exercise started in 1990 during the Bush administration. Republicans and Democrats, it appeared, agreed that ergonomic rules were needed to combat an epidemic of repetitive motion injuries afflicting hundreds of thousands of workers, from meatpackers to computer programmers. </P> "	"nyt_eng_199504.gz"
"22461"	"it"	"appeared"	" Not once, it appeared, did she meet her mother's stern gaze during more than a half hour in the same hearing room. </P> "	"nyt_eng_199505.gz"
"22473"	"it"	"appeared"	" Not once, it appeared, did she meet her mother's stern gaze during more than a half hour in the same hearing room. </P> "	"nyt_eng_199505.gz"
"23985"	"it"	"appeared"	" His only mishap, it appeared, was in assuming that his predecessor, Stanley Brezenoff, had announced before he leaving the authority that the agency would not pursue the full 22-mile rail plan. </P> "	"nyt_eng_199506.gz"
"24058"	"it"	"appeared"	" Meanwhile, Dole quickly reverted to quasi coherence, stumbling through an interview with Dan Rather _ unconvinced, it appeared, by his own arguments _ while reassuring the troops, and perhaps himself, several times in the days after the speech, that he was ``a moderate'' who wouldn't ``lead us over the edge.'' </P> "	"nyt_eng_199506.gz"
"24108"	"it"	"appeared"	" Meanwhile, Dole quickly reverted to quasi coherence, stumbling through an interview with Dan Rather _ unconvinced, it appeared, by his own arguments _ while reassuring the troops, and perhaps himself, several times in the days after the speech, that he was ``a moderate'' who wouldn't ``lead us over the edge.'' </P> "	"nyt_eng_199506.gz"
"26174"	"it"	"appeared"	" But Ito needed little persuading _ in part, it appeared, because he felt betrayed by so many of the former jurors. He suggested that some had sought to serve on the case for the wrong reason, then cashed in afterwards, writing books, courting interviews, and, as he put it, ``running around in limousines to talk shows.'' Those, he said, were hardly privacy interests worth protecting. </P> "	"nyt_eng_199506.gz"
"30577"	"he"	"appeared"	" Finally, a few minutes after 5, he appeared, trailed by a retinue, wearing a suit. A real suit, made of black pinstriped wool, not a nylon number meant for jogging. The clothing left no doubt: This was a very big occasion. </P> "	"nyt_eng_199508.gz"
"31339"	"it"	"appeared"	" All around Alonso and Masone seemed to be men in their mid-40s. Most wearing business suits. All of them perspiring. Downtown Dallas, it appeared, would be taking the afternoon off. </P> "	"nyt_eng_199508.gz"
"32862"	"it"	"appeared"	" I provided copies of Larry's Commandments. We were getting somewhere, it appeared, though I decided against advising the young men to join Larry's Good Manners Club for just $18 annually, or to become a Good Manners Sponsor for $50, or a Good Manners Angel for a hundred bucks. The $1,000 corporate co-sponsorship also seemed out of the question. </P> "	"nyt_eng_199509.gz"
"32964"	"it"	"appeared"	" I provided copies of Larry's Commandments. We were getting somewhere, it appeared, though I decided against advising the young men to join Larry's Good Manners Club for just $18 annually, or to become a Good Manners Sponsor for $50, or a Good Manners Angel for a hundred bucks. The $1,000 corporate co-sponsorship also seemed out of the question. </P> "	"nyt_eng_199509.gz"
"43346"	"it"	"appeared"	" After several minutes the friend missed him, followed in the direction he had gone and found him where he'd fallen _ taken instantly, it appeared, by a heart attack. </P> "	"nyt_eng_199512.gz"
"49612"	"they"	"appeared"	" ``When I took her back to the other veterinarian's office, they appeared, well, shocked,'' said Michel Rachmilowitz, Missy's human companion. ``They said they didn't expect to see her alive; they just hadn't told me at the time.'' </P> "	"nyt_eng_199602.gz"
"59136"	"they"	"appeared"	" On the third day of a trip to Ghana that had been billed as a three-day journey, Miss Cassell and other passengers said the aging Nigerian ship began to list and then to creak. And when crew members gave in to passenger demands for an explanation, they appeared, dressed in life-vests, and said that the freighter was taking on water. </P> "	"nyt_eng_199605.gz"
"66439"	"it"	"appeared"	" Serbia, it appeared, was desperate to win back its tourists. The odds are hardly stacked in its favor. </P> "	"nyt_eng_199607.gz"
"66441"	"it"	"appeared"	" Serbia, it appeared, was desperate to win back its tourists. The odds are hardly stacked in its favor. </P> "	"nyt_eng_199607.gz"
"66443"	"it"	"appeared"	" Serbia, it appeared, was desperate to win back its tourists. The odds are hardly stacked in its favor. </P> "	"nyt_eng_199607.gz"
"66567"	"it"	"appeared"	" Serbia, it appeared, was desperate to win back its tourists. The odds are hardly stacked in its favor. </P> "	"nyt_eng_199608.gz"
"66569"	"it"	"appeared"	" Serbia, it appeared, was desperate to win back its tourists. The odds are hardly stacked in its favor. </P> "	"nyt_eng_199608.gz"
"66572"	"it"	"appeared"	" Serbia, it appeared, was desperate to win back its tourists. The odds are hardly stacked in its favor. </P> "	"nyt_eng_199608.gz"
