"pronoun"	"verb"	"context"	"filename"
"182"	"he"	"wondered"	" Why, he wondered, should that be? He found several explanations. First, cancer risk is linked to metabolic rate: the faster the rate at which the body burns fuel, the greater the likelihood of developing cancer. Rats, for example, have a metabolic rate eight times as fast as humans. </P> "	"nyt_eng_199407.gz"
"1371"	"she"	"wondered"	" Monday night is given to what Ron Silver, the somewhat breathless narrator, calls the golden age of the mob, from Prohibition to Las Vegas, Nev. A sometime friend of Bugsy Siegel (the hero of Warren Beatty's movie, ``Bugsy'' and lately exhumed again in John Gregory Dunne's zesty new novel, ``Playland'') says that when she first saw the Nevada desert, she wondered, ``Why would they come to a place like this?'' </P> "	"nyt_eng_199407.gz"
"3557"	"he"	"wondered"	" So instead of retiring he kept thinking how he might attract a better clientele, people who would have a good time, behave reasonably and spend money. Over the years he had changed the place several times to draw customers, once adding a Chinese kitchen and later offering Italian dishes. What, he wondered, would work now? </P> "	"nyt_eng_199408.gz"
"3599"	"they"	"wondered"	" Where was I, they wondered, and why no column? </P> "	"nyt_eng_199408.gz"
"6736"	"we"	"wondered"	" Davis suggested in Austin this summer that the Cowboys' defense might actually be better this season than it was last year, which sent most of us doubting Thomases scrambling for the shade and another glass of lemonade. How, we wondered, could it possibly be better after the loss of middle linebacker and team leader Ken Norton, defensive run-stopper Tony Casillas, swing man Jimmie Jones and free safety Thomas Everett? </P> "	"nyt_eng_199410.gz"
"12198"	"I"	"wondered"	" Why, I wondered, don't they look more worried? Haven't they heard that they are taking on the army that beat Napoleon and Hitler? </P> "	"nyt_eng_199501.gz"
"12224"	"they"	"wondered"	" The scientists concluded that all of the major known faults in the Los Angeles area appear to be locked and are accumulating strain that will be released in earthquakes. But, they wondered, in what manner? </P> "	"nyt_eng_199501.gz"
"12664"	"I"	"wondered"	" His expression was grave. Still, it was human nature to hope for the best. What, I wondered, had Julie done now? Brokered a Bosnian peace? Announced a cure for cancer? Ridden another Belmont Stakes winner? (The Belmont isn't until June, but for a go-getter like Julie, that's a small obstacle!) </P> "	"nyt_eng_199501.gz"
"12950"	"I"	"wondered"	" Or, I wondered, is this another scam some 20-year-to-lifer with access to a telephone has dreamed up? </P> "	"nyt_eng_199501.gz"
"14181"	"she"	"wondered"	" What harm could it do, she wondered, to have the visiting Chicago players stand there and hear their familiar former figure singing in the rink of the enemy? Keenan went along with the idea; Messmer accepted the invitation. Had they not called to invite him, he might have invited himself. </P> "	"nyt_eng_199502.gz"
"15941"	"I"	"wondered"	" When I heard Quadmark was making a portable copier called the Passport, I wondered, why would anyone bother to carry a copying machine with them on the road? </P> "	"nyt_eng_199503.gz"
"17783"	"he"	"wondered"	" But that was not the way his mind worked. Needham found it impossible to take up just part of an issue and stop there, and soon he found himself casting his question in a different way: How, he wondered, had the West lagged so drastically in developing Chinese scientific advances like printing, gunpowder, pest control, and the magnetic compass? (There were dozens more, he wrote, including ``mechanical clockwork, the casting of iron, stirrups and efficient horse harnesses.'') </P> "	"nyt_eng_199503.gz"
"19685"	"we"	"wondered"	" Now Roosevelt was no longer there. What next, we wondered, even worried a little. Though anti-FDR, my aunt recognized his immense ability. She was depressed that we were in the green hands of ``Truman, that failed ribbon clerk, beholden to Boss Pendergast's machine in Kansas City.'' </P> "	"nyt_eng_199504.gz"
"20262"	"he"	"wondered"	" At other times, there was only one set of prints -- the times of sadness and pain. He confronted God. And he asked Him why He had ceased to walk beside him when he most needed that support. Why, he wondered, had God abandoned him, and God answered, ``But my son, those were the times I was carrying you.'' </P> "	"nyt_eng_199504.gz"
"22680"	"he"	"wondered"	" Adam Isidore was also 6 years old when his father, Tony, created the advertisement with colleagues from the Young &AMP; Rubicam advertising agency. Adam grew up to become a filmmaker. What, he wondered, had become of the 16 other youngsters and the hope they represented? He provides poignant answers in his new documentary film, ``Give a Damn Again.'' </P> "	"nyt_eng_199505.gz"
"22781"	"he"	"wondered"	" Adam Isidore was also 6 years old when his father, Tony, created the advertisement with colleagues from the Young &AMP; Rubicam advertising agency. Adam grew up to become a filmmaker. What, he wondered, had become of the 16 other youngsters and the hope they represented? He provides poignant answers in his new documentary film, ``Give a Damn Again.'' </P> "	"nyt_eng_199505.gz"
"24689"	"she"	"wondered"	" Should she go along with her doctors' plans, she wondered, or fight the tumors the traditional Mexican way? </P> "	"nyt_eng_199506.gz"
"26837"	"she"	"wondered"	" TAPE TRAVAILS: If you live in Texas, you know this has been a brutal hailstorm season. My editor observed that plenty of drivers whose car windows were smashed still have remnants of duct tape stuck to their paint where they temporarily covered their windows with plastic, even though the glass has been replaced. How, she wondered, do you get that stuff off? </P> "	"nyt_eng_199506.gz"
"28917"	"I"	"wondered"	" If our bombs were so threatening, I wondered, why was my friend and fellow paperboy killed flying his helicopter in Vietnam? Why was it that this country could put a man on the moon and bring him home but couldn't protect its sons from the hand-held weapons of one of the poorest countries in the world? And how did our leaders, with all their inherited stature and might, stumble into such an insoluble quagmire? </P> "	"nyt_eng_199507.gz"
"28918"	"I"	"wondered"	" If our bombs were so threatening, I wondered, why was my friend and fellow paperboy killed flying his helicopter in Vietnam? Why was it that this country could put a man on the moon and bring him home but couldn't protect its sons from the hand-held weapons of one of the poorest countries in the world? And how did our leaders, with all their inherited stature and might, stumble into such an insoluble quagmire? </P> "	"nyt_eng_199507.gz"
"29069"	"I"	"wondered"	" ``When Rob left _ when Fleishman left _ that began my mourning process,'' she said. ``It was the end of something special. When the two new characters came on, I wondered, `What show am I working on?' I didn't even recognize it.'' </P> "	"nyt_eng_199507.gz"
"30804"	"I"	"wondered"	" Like, I wondered, the writer could know? Actually, the place, Randall's Ordinary, goes back to only about 1685, but why quibble? For a millennium-era family of Hypercard-carrying Manhattanites, it was plenty old and authentic enough to set the stage for a weekend tour of the historic Mystic area. </P> "	"nyt_eng_199508.gz"
"31794"	"I"	"wondered"	" Why, I wondered, didn't the bride have the courtesy to suggest that instead of spending a hundredyskillion bucks each on these green tents, the young ladies could go to one of the shops within walking distance of the cathedral and simply buy, say, look-alike Santa Fe T-shirts? They could have worn those for years. And they would have cost them a maximum of $20 each _ or $10 if they'd found the clearance rack at the F.W. Woolworth store that's right on the Plaza (It is so!). </P> "	"nyt_eng_199508.gz"
"32482"	"I"	"wondered"	" Japan's official discount rate, the rate at which the central bank lends money to commercial banks overnight, is at 1 percent. The Washington-based IMF argues that Japan has room to cut rates because deflation has caused real interest rates to rise, media reports said. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950829.0039 type=other > <DATELINE>  (BC-TEST-BLOOM) </DATELINE> <TEXT> TEST (For use by New York Times News Service clients) c.1995 Bloomberg Business News TEST TEST -0- (BBN) Aug/29/95 8:55 EOS (BBN) Aug/29/95 08:55 85 </TEXT> </DOC> <DOC id=NYT_ENG_19950829.0040 type=other > <DATELINE>  (BC-TEST-BLOOM) </DATELINE> <TEXT> THIS IS A TEST (For use by New York Times News Service clients) c.1995 Bloomberg Business News -0- (BBN) Aug/29/95 8:59 EOS (BBN) Aug/29/95 08:59 85 </TEXT> </DOC> <DOC id=NYT_ENG_19950829.0041 type=advis > <DATELINE>  (BC-BUDGET-NEWSFEATURES-COX) </DATELINE> <TEXT> c. 1993 Cox News Service  These features are moving Tuesday morning, August 29, 1995, to clients of the New York Times News Service. Unless otherwise noted, they are for use at any time.  Stories are moving in category shown at end of each budget item.  Entertainment/Lifestyle  MINI-REVIEWS _ The weekly brief reviews of current movies are written by Cox News Service movie critic Eleanor Ringel. (Five takes).  National  TEXAS-DIVORCE _ AUSTIN, Texas _ In Texas, venue for 97,571 divorces last year, the rules of disengagement change Friday. State lawmakers this year approved changes in child custody laws, including new provisions aimed at keeping both ex-spouses involved with their kids and making it easier to change custody arrangements after the divorce. And, in a move aligning Texas with the rest of the union, alimony _ albeit a limited version _ enters the divorce equation. The changes raise as many questions as they answer. Will the threat of alimony, however limited, be a new bargaining chip in property settlements? Are the custody changes cosmetic or far-reaching? (Herman).  CREMATORIUM _ DELRAY BEACH, Fla. _ Joe Damiano wants to open a crematorium here that's a little more elegant than the one he runs in nearby Lantana, somewhere families can view the incineration of their dearly departed in dignity. But the man known as South Florida's body removal czar is in purgatory as far as state environmental officials are concerned: They've sued Damiano over how he ran a similar crematorium on Florida's west coast. In a series of 1993 inspections, officials found that the incinerators in Damiano's Palmetto crematorium spewed smoke and ``objectionable odors'' because they didn't burn at a high enough temperature. (Feder).  VA-DEATHS _ GRAND JUNCTION, Colo. _ Her husband, Ronald Franklin, a 56-year-old retired school custodian and veteran of the Korean War, had been wheeled into surgery around 10 a.m. and Florence had settled in to wait. She didn't think it would be long. She said doctors told her Ronald would be out of surgery around noon. And she wasn't too worried. Ronald's doctors had told the Franklins that the surgery to remove a cancerous section of his colon was routine and not risky. As Florence waited and occasionally paced outside with a cigarette, the noon hour passed. Florence became anxious. Another hour ticked slowly by. Florence became alarmed. She made regular trips to the nurses' station to ask how her husband was doing, where he was, and when she could see him. ``They didn't tell me anything,'' Florence said. (Lofholm, Four Takes ).  Business  CAT-COLUMN _ Tips for setting up a business on the Internet. (Komando).  TECHNOBUDDY _ ATLANTA _ Kicking your car when it won't start is intuitive. But all it does is mess up your toes. Trying to be intuitive with computers works just as poorly _ except they mess up your mind instead of your toes. I thought a mouse was intuitive until I watched a friend use one for the first time. He held it straight out from his body and pointed it at the computer. Then he clicked. Rolling it on the table never occurred to him. I tell you all this to put the ``intuitive'' ease of Windows 95 into perspective. The program is intuitive compared to Windows 3.1, which it replaces. But compared to scratching your nose, it's not intuitive at all. (Husted).  Commentary  YOUNG-COLUMN _ WACO, Texas _ Do you remember Brazil '66? Ah, yes. Sergio Mendez' cutting-edge musical combo was very hip, very cool. Then 1967 rolled around. Brazil '66 suddenly was very out-of-date. Brazil '66 was cursed by a name it had to keep changing. I thought of Brazil '66 as Windows 95 made its grand entrance into a world that barely had breath to bate, so busy had it been talking up the advent of a new software messiah. When 1996 rolls around in four swift months, Windows 95 already will be ancient _ caveman etchings, a geezer to new-breed geeks. Surely Windows 96 is headed down the pipe. Windows 95.5? Whatever, when it happens we'll all wonder what the past few days' fuss was about. (Young).  LEIBOWITZ-COLUMN _ They're a couple of desperados, these two, real Wild West types. You'll be glad to hear that Arizona authorities are hot on the case. Honestly, I can't decide which one's scarier: the 77-year-old blind well-driller with the high blood pressure, or his pal, the 76-year-old real estate agent with a bad case of the shakes. And to think that Charles ``Loft'' Hollamon and Jack Bird nearly brought the election process in Arizona and America to its knees, plus had a state appeals court judge risk entry to the Oxymoron Hall of Fame by penning the words _ I kid you not _ ``maintaining the integrity of public elections.'' (Leibowitz).  MCLEESE-COLUMN _ AUSTIN, Texas _ Bruce Todd's announcement that he will not seek re-election in 1997 gives prospective candidates an extended stretch to jockey for position. Predictably, speculation has centered on the usual suspects: City Council members, past and present, and (only in Austin) the contentious political analyst for a free weekly. (McLeese).  SIMPSON _ ATLANTA _ ``Will the justice system survive?'' The question from a white colleague referred to the O.J. Simpson trial. The implication was that Simpson's attorneys were using what prosecutor Marcia Clark called ``the race card'' to get Simpson off. I knew my colleague meant well. A decent person, she was appalled, as many of us are, at the ugly spectacle the Simpson trial has become. Still, her question got me to thinking. Why, I wondered, did no one ask, ``Will the justice system survive?'' after an all-white jury set free the white policemen who savagely beat Rodney King? (Conley).  SCHUETT-COLUMN _ GIBSONBURG, Ohio _ My morning coffee cronies are chuckling in their decaf because school starts up tomorrow and I have to go back to work and they don't. ``If you was to retire with those big bucks teachers get,'' Amos says just like he knows what he's talking about, ``then you could hang around here with us every morning.'' ``If I retired now,'' I remind him since I've been teaching only four years, ``I'd starve. You gonna' feed me?'' This fires up yet another discussion of the outrageously large amounts of money that teachers have forced on them every other Friday. ``Why, if I had your money,'' Cal observes with a wink to his captive audience, ``I'd retire and cruise the Mediterranean.'' (Schuett).  For questions and resends, contact:  Rick Christie 202-887-8316.  Andy Alexander 202-887-8334.  Matt Vita 202-887-8309.  For use by clients of the New York Times News Service </TEXT> </DOC> <DOC id=NYT_ENG_19950829.0042 type=story > <HEADLINE> DOCTORS' ERRORS COST TWO LIVES </HEADLINE> <DATELINE> GRAND JUNCTION, Colo. (BC-VA-DEATHS-4TAKES-COX) </DATELINE> <TEXT> "	"nyt_eng_199508.gz"
"32486"	"I"	"wondered"	" Still, her question got me to thinking. Why, I wondered, did no one ask, ``Will the justice system survive?'' after an all-white jury set free the white policemen who savagely beat Rodney King? </P> "	"nyt_eng_199508.gz"
