"pronoun"	"verb"	"context"	"filename"
"72"	"I"	"cry"	" ``I've seen `The Heidi Chronicles' three times,'' a fan gushed as she met Wendy Wasserstein. ``I sit there, I cry, and I think, `You know me. You know everything about me.''' </P> "	"nyt_eng_199407.gz"
"643"	"I"	"cry"	" ``I've seen 'The Heidi Chronicles' three times,'' a fan gushed as she met Wendy Wasserstein. ``I sit there, I cry, and I think, `You know me. You know everything about me.' '' </P> "	"nyt_eng_199407.gz"
"2442"	"we"	"cry"	" And yet Avery Sommers is not a brooding, bitter woman. She is jovial and outgoing, as if she has some secret supply of sunshine. ``Laughter is a part of our lives,'' says Waldron. ``It was bequeathed to us from my father. We hurt, we cry, but most of all, we love to laugh.'' </P> "	"nyt_eng_199408.gz"
"26591"	"they"	"cry"	" Other bidders for the stake were Telfar, a joint venture of Bell Atlantic and France Telecom; Cetel, a venture of Germany's Deutsche Telekom and Ameritech Corp.; and Tele Danmark, the Danish phone company. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950628.0112 type=advis > <DATELINE>  (BC-HEARST-FEATURE-BUDGET-HNS) </DATELINE> <TEXT> Wednesday, June 28, 1995  c.1995 Hearst News Service  The Hearst News Service will file the following stories for clients of the New York Times News Service for Thursday. If you have questions, contact Judy Holland or Eric Rosenberg at 202-298-6920 or 202-298-6320.  (Slug includes the HNS designation.)  NATIONAL NEWS (``a'' category)  DEMONSTRATION-EXECUTION (San Francisco) _ Demonstrators from the group Food not Bombs and other groups protested the incarceration and scheduled August execution of Mumia Abu-Jamal, a journalist who was been on Pennsylvania's death row since 1981 for the killing of a police officer. Support groups contend was framed because of his political activism in Philadelphia's African American community. By DEXTER WAUGH.  PREACHER-DRUGS (San Antonio) _ An evangelical preacher who built one of the largest non-denominational churches in Wichita, Kan., and two other men are facing charges in San Antonio of conspiring to launder millions of dollars of what they were told was illicit drug money. By CHRIS BIRD.  PRESIDIO-FINANCIAL (San Francisco) _ The Presidio's life as a national park could be cut short and the land returned to the Defense Department if the park isn't making it financially, under a revised bill being pushed by Rep. Nancy Pelosi. By GERALD D. ADAMS.  BUSINESS/FINANCIAL NEWS (``f'' category)  WINDOWS-DOS (Undated) _ Politically correct voices loudly proclaim the demise of DOS. Windows, they cry, represents the dawn of the millennium. Windows is not really what it's advertised to be. It's not easy. It's not slick. Windows is about control and about selling software. By BETTE LASWELL.  LEVI-REORGANIZE (San Francisco) _ Levi Strauss &AMP; Co. will offer early retirement to veteran U.S. employees but is promising it will lay no one off the next two years. The reorganization of Levi's U.S. operation, perhaps the greatest managed upheaval in the nation's corporate history, turned out to be too ambitious. By LOUIS TRAGER.  COMMENTARY (``k'' category)  DEADBEAT-DADS (Albany, N.Y.) _ One in three divorced fathers are behind in their child support payments. But according to the General Accounting Office in Washington, about 14 per cent of these deadbeat dads are dead. Two out of three living deadbeat dads are disabled or so lacking in skills that they can't find jobs. By DAN LYNCH.  MORSE-COLUMN (San Francisco) _ San Francisco's celebration of the 50th birthday of the United Nations ended with John Denver singing ``It's About Time,'' but don't let that affect your judgment of the event. Dumping on the United Nations, like dumping on John Denver, is almost de rigueur (pardon the international language). By ROB MORSE.  O'GRADY-MOVIE (San Francisco) With heroism as great as that of Capt. Scott O'Grady, Hollywood will no doubt prepare to make a film about the Air Force pilot's escape from Bosnia. But writers will have to add some romantic intrigue, some gunplay, some chase scenes, if they want the film to live up to usual audience expectations. By JOEL SCHECHTER.  LIFESTYLE (``l'' category)  DOCTORS-GROUPS (San Francisco) _ The independent family doctor, once a fundamental part of American life, is going the way of the milkman, delivery boy and carriage driver. He is joining huge ``medical groups,'' coalitions of 50 to 500-plus doctors bound by a common philosophy: There is strength in numbers. By LISA KRIEGER.  ROCK-HOBBY (Tiburon, Calif.) _ Robert Mark treks from his Palo Alto home several times a year to visit a boulder in the Ring Mountain Preserve, containing some of the most prominent petroglyphs in Northern California. His mission: to document vandalism to the big rock, the canvas for ancient native American etchings known as petroglyphs. BY DONNA HOROWITZ.  GARDEN-COLUMN (Houston) _ Q: Are tea grounds good to add to my compost? A: Yes. Tea grounds are a source of nitrogen. If you use tea bags, you can just add the bags to your compost pile. Answers to questions from gardeners. By KATHY HUBER.  SPORTS (``s'' category)  RAIDERS-RETURN (San Francisco) _ It will set off an uproar of home-town spirit, create an estimated 1,000 new jobs and pump millions of dollars into Oakland's economy. But the deal to bring home the Raiders also carries a shadow of public risk and a price tag of up to $210 million in public bonds. By ERIN McCORMICK. </TEXT> </DOC> <DOC id=NYT_ENG_19950628.0113 type=story > <HEADLINE> PSA'S CALVET LOWERS W. EUROPEAN CAR MARKET FORECAST (UPDATE1) </HEADLINE> <DATELINE> Paris, June 28 (Bloomberg) (BC-PEUGEOT-OUTLOOK-UPDATE1-BLOOM) </DATELINE> <TEXT> "	"nyt_eng_199506.gz"
"26617"	"they"	"cry"	" Politically correct voices loudly proclaim the demise of DOS. Windows, they cry, represents the dawn of the millennium. Bow down, bow down, the Emperor is at hand. </P> "	"nyt_eng_199506.gz"
"26618"	"they"	"cry"	" Politically correct voices loudly proclaim the demise of DOS. Windows, they cry, represents the dawn of the millennium. Bow down, bow down, the Emperor is at hand. </P> "	"nyt_eng_199506.gz"
"33467"	"I"	"cry"	" ``I ask, I cry, but nothing works,'' she said. ``I tell my husband, `Maybe you should give him a good slap when he comes home drunk.' Sometimes I think the only way to stop him is to put him in jail.'' </P> "	"nyt_eng_199509.gz"
"33502"	"I"	"cry"	" ``I ask, I cry, but nothing works,'' she said. ``I tell my husband, `Maybe you should give him a good slap when he comes home drunk.' Sometimes I think the only way to stop him is to put him in jail.'' </P> "	"nyt_eng_199509.gz"
"89209"	"I"	"cry"	" ``I cry, I cry, my eyes are never dry, about my pie in the sky,'' said Dundon, who often speaks in rhyme, partly because he likes to and partly because the world expects such stuff of eccentrics. </P> "	"nyt_eng_200102.gz"
"100681"	"I"	"cry"	" ``Every time I come down here, I cry,'' Giuliani said. </P> "	"nyt_eng_200111.gz"
