"pronoun"	"verb"	"context"	"filename"
"31602"	"she"	"stresses"	" The movie, she stresses, is about people trying to control their lives, and not paying attention to what's around them. ``We're having our first preview tonight,'' she says, of the movie she and her husband are editing in their home. ``A temp cut, to see how it plays. A sophisticated romantic comedy in the Valley,'' she murmurs. ``I said, `Why don't you try Mars?''' </P> "	"nyt_eng_199508.gz"
"46190"	"she"	"stresses"	" Enya has been in New York nearly a week, talking to TV and print-media types. She is, she stresses, a social person, not a recluse. Yes, her studio routine is rather solitary, but she's happy to mix and mingle. She's been taking in the delights of a snow-covered city _ no traffic, just a few skiers and pedestrians along Fifth Avenue. She says she does not get recognized by passersby at all and she likes it like that. </P> "	"nyt_eng_199601.gz"
"68522"	"she"	"stresses"	" Just because hikers never noticed the sites before, she stresses, does not mean they were not there: ``A thorough deed search or a probate inventory would probably show otherwise.'' </P> "	"nyt_eng_199608.gz"
"72258"	"he"	"stresses"	" Not everyone agrees. ``Do they show poise and articulation under pressure?'' asks Dr. Bruce Buchanan, director of the Markle Presidential Watch, pointing to the most basic questions of viewers who, he stresses, appreciate the debates for presenting candidates unfiltered initially by journalistic commentary. ``Do they touch my heart when they're thinking on their feet?'' </P> "	"nyt_eng_199609.gz"
"103683"	"he"	"stresses"	" But, he stresses, ``the quality of the sound is OK _ an oboe in the academy sounds like an oboe. We got a rich string sound in there, but you really had to work at it.'' </P> "	"nyt_eng_200201.gz"
"109593"	"he"	"stresses"	" For Wayman, who started at HP as a cost accountant, the merger plan is nearly rock solid. The deal, he stresses, would mean adding $5 to $9 to each HP share and would create a technology powerhouse rivaling IBM. </P> "	"nyt_eng_200203.gz"
"110735"	"he"	"stresses"	" Earning this sum is a long way off, but then Raz has yet to set his sights on the right girl. Raz dreams of a woman who is tall, shapely and, he stresses, not ugly. ``I don't like ugly,'' Raz says. </P> "	"nyt_eng_200203.gz"
"118817"	"he"	"stresses"	" He is now unattached and, he stresses, available, though he shares an apartment with that former boyfriend a few blocks away in Hell's Kitchen. Oh? ``All relationships in New York City are fundamentally driven by real estate,'' he says, laughing. </P> </TEXT> </DOC> <DOC id=NYT_ENG_20020618.0096 type=story > <HEADLINE> TURNING 40, SKY-HIGH AND FREE FALLING </HEADLINE> <DATELINE>  (BC-SKYDIVE-FORTY-BOS) </DATELINE> <TEXT> "	"nyt_eng_200206.gz"
"125223"	"he"	"stresses"	" After living in the United States for something like 20 years, Haden-Guest is ``still a green-carder,'' ostensibly because he ``just can't stand the paperwork'' that would turn him into an official Yank. But there's another reason for noncitizenship: He considers himself more of a New Yorker than an American, and American humor, he stresses, is very regional. </P> "	"nyt_eng_200209.gz"
"125224"	"he"	"stresses"	" After living in the United States for something like 20 years, Haden-Guest is ``still a green-carder,'' ostensibly because he ``just can't stand the paperwork'' that would turn him into an official Yank. But there's another reason for noncitizenship: He considers himself more of a New Yorker than an American, and American humor, he stresses, is very regional. </P> "	"nyt_eng_200209.gz"
"130652"	"he"	"stresses"	" The new resolution, he stresses, has language _ albeit deeply buried _ that holds out the prospect to Baghdad of an end to tough economic sanctions within a year if ElBaradei and Blix give their approval. </P> "	"nyt_eng_200211.gz"
"142478"	"he"	"stresses"	" Now, these aren't the kind of things of which front-page headlines are made, and the Legislature has left its own distinct imprint on many of the measures. But all in all, the governor's list for 2004 is a pretty good one -- and, he stresses, made up of matters important to Massachusetts. </P> "	"nyt_eng_200409.gz"
"148704"	"she"	"stresses"	" As frustrated as Kirkpatrick might get, though, she knows that one o the best ways to encourage more adoptions is to woo more potential pet owners to her shelter. Customer service, she stresses, is key. </P> "	"nyt_eng_200501.gz"
"152598"	"he"	"stresses"	" One of the most important requirements for working on it, he stresses, is for the peoples and leaders of the Muslim world and the West to recognize and respect some of their basic differences. </P> "	"nyt_eng_200505.gz"
"159215"	"she"	"stresses"	" I had actually named (the character) the same name as my best friend, she says earlier in the day before meeting with the moms' group. That changed and, she stresses, though informed by fact, the book is fiction. There's an emotional truth to it. </P> "	"nyt_eng_200510.gz"
"160121"	"he"	"stresses"	" Like Terranova, Darwyn Al-Sayeed (Ealy) spent a few years in the joint building his street cred and solidifying his cover. Although Darwyn is himself a Muslim, he stresses, These guys have nothing to do with my faith. </P> "	"nyt_eng_200512.gz"
