"pronoun"	"verb"	"context"	"filename"
"6492"	"he"	"alleged"	" Nizar Hamdoon, Iraq's U.N. ambassador, said Hussein was ``expressing frustration'' in sending almost 80,000 troops to southern Iraq, near the Kuwaiti border, because, he alleged, the U.N. had reneged on pledges to ease the four-year-old trade ban against Iraq. </P> "	"nyt_eng_199410.gz"
"12217"	"he"	"alleged"	" ``I never promised a lightning war,'' he said. Other members of the Security Council thought the fighting would go quickly, he alleged, ``but I said, `Kids, you are deeply mistaken. This will be a very real war, a prolonged war that will go on for years.''' </P> "	"nyt_eng_199501.gz"
"12758"	"he"	"alleged"	" Among those practices, he alleged, was the use of ``vaporware'' -- meaning that the company promoted products it had not yet produced. The aim was to get potential customers to hold off buying similar products already available from competitors, he said. </P> "	"nyt_eng_199501.gz"
"17180"	"he"	"alleged"	" Garcia Abrego spent several million more on assassins, Lopez said. Among the scores of murders contracted by Garcia Abrego, he alleged, was the cult slaying and mutilation of a 21-year-old New Mexico college student who was abducted during a spring break vacation in 1989 in Matamoros. </P> "	"nyt_eng_199503.gz"
"17200"	"he"	"alleged"	" Garcia Abrego spent several million more on assassins, Lopez said. Among the scores of murders contracted by Garcia Abrego, he alleged, was the cult slaying and mutilation of a 21-year-old New Mexico college student who was abducted during a spring break vacation in 1989 in Matamoros. </P> "	"nyt_eng_199503.gz"
"30947"	"he"	"alleged"	" Instead, he alleged, more sensitive and genuine research into the effects of smoking apparently was conducted by secretive subgroups called ``special projects.'' Special projects research allegedly had heavy involvement of lawyers, ``so that they could conceal it under a claim of attorney work product or attorney-client privilege.'' </P> "	"nyt_eng_199508.gz"
"40494"	"she"	"alleged"	" They were concerned, she alleged, that she might exploit her popularity to damage the royal family, a charge she vehemently denied. </P> "	"nyt_eng_199511.gz"
"67131"	"he"	"alleged"	" The officer charged in the Irvin murder-for-hire case is Johnnie Hernandez. He was first presented to us as a policeman with ``an exemplary'' record who was upset because Irvin, he alleged, had threatened his stripper-self-employed-model-live-in-girlfriend. </P> "	"nyt_eng_199608.gz"
"67218"	"he"	"alleged"	" The officer charged in the Irvin murder-for-hire case is Johnnie Hernandez. He was first presented to us as a policeman with ``an exemplary'' record who was upset because Irvin, he alleged, had threatened his stripper-self-employed-model-live-in-girlfriend. </P> "	"nyt_eng_199608.gz"
"78137"	"he"	"alleged"	" Dornan, meanwhile, acknowledged that increased numbers of Hispanics voted for his opponent, but said many likely did so illegally. Democrats and Hispanic groups, he alleged, registered unqualified voters. </P> "	"nyt_eng_199611.gz"
"82156"	"she"	"alleged"	" This sick prank, Getchell said, was just one incident in a campaign to drive her, an apprentice crane operator, off the construction site of the Central Artery/Third Harbor Tunnel project. It had begun months before, in late 1992, with whispers that she was sleeping with coworkers, accusations that only sharpened when she denied them. Then a coworker asked for sex, she alleged, and when she refused, he would no longer grant her practice time on the crane. The harassment escalated to physical intimidation and vandalism to her car when it was parked at a union office, Getchell said. </P> "	"nyt_eng_199612.gz"
"120322"	"they"	"alleged"	" Critics accused him of dragging his feet because, they alleged, conflicts of interest led the securities lawyer to put his former private clients _ especially the big audit firms _ before the public interest. </P> "	"nyt_eng_200207.gz"
"120523"	"he"	"alleged"	" He has also used it to criticize ``some people'' in the leadership, who, he alleged, were leading Arafat astray. In April Rajoub all but accused Muhammad Dahlan, who recently resigned from being Gaza's security chief but has since been offered the job of Arafat's security adviser, of conniving with Israel's aerial bombardment of his headquarters in Ramallah to discredit him in the eyes of his people. To save his men, Rajoub was forced to hand Israel six wanted activists. </P> "	"nyt_eng_200207.gz"
"138444"	"he"	"alleged"	" But between 1995 and 2002, he alleged, the two were also engaged in an elaborate scheme to steal money from company compensation plans and profit improperly by selling shares that were propped up by lying about Tyco's financial condition. Kozlowski and Swartz ``didn't win the jackpot, they stole it,'' he said. </P> "	"nyt_eng_200310.gz"
"158454"	"he"	"alleged"	" The commission, he alleged, operated under marching orders to protect GTECH because of consultant Barnes' personal knowledge of how a young George W. Bush got into the Texas Air National Guard when many young men his age were going to Vietnam. </P> "	"nyt_eng_200510.gz"
"165331"	"she"	"alleged"	" The alleged rape occurred inside a university-owned house just off campus, rented to three lacrosse players. The players had hired the student from North Carolina Central and another woman as exotic dancers at a party. But around 2 a.m., she alleged, three players shoved her into the bathroom and raped her, shouting racial epithets. </P> "	"nyt_eng_200604.gz"
