"pronoun"	"verb"	"context"	"filename"
"4101"	"they"	"fell"	" Pierce was not as lucky in her doubles match with Jensen, who is unseeded. Playing together for the first time, they fell, 6-3, 6-4, to Suk and Fernandez, who are the third-seeded players in the mixed doubles' draw. </P> "	"nyt_eng_199409.gz"
"4582"	"I"	"fell"	" ``I felt him on my back,'' he said, ``but I didn't know who it was. I knew Jumbo was next to me. The next thing I knew, I fell, Jumbo fell and he whizzed by.'' </P> "	"nyt_eng_199409.gz"
"32223"	"he"	"fell"	" Thursday night, he finished off Marcelo Rios of Chile, 6-1, 7-5, in 69 minutes. In Friday's quarterfinals, he fell, 6-4, 1-6, 6-2, to Renzo Furlan, a human backboard from Italy. </P> "	"nyt_eng_199508.gz"
"41393"	"I"	"fell"	" An easy walk back to Namche today. A fine view of Everest. In the afternoon we set off for the Thyangboche monastery, up 3,000 feet of huff and puff. By the time we got there, I was fully spent. It took all I had to go the final 20 steps. I'd brought a book for the Rinpoche. He was kind, calm, gave us tea, didn't rush. I bowed to the ground as I left, feeling strangely moved. Later, I fell, exhausted, into my sleeping bag, and cried. Tired unto death, dreading another seven-hour day tomorrow ... </P> "	"nyt_eng_199511.gz"
"42186"	"it"	"fell"	" The announcement of Steffen's hiring at Kodak prompted the stock to jump, adding more than $1 billion to its market capitalization in a day. When he quit, it fell, wiping out more than $1 billion from the company's market value. The drop in Citicorp stock right after today's announcement lowered the market capitalization by about $400 million. </P> "	"nyt_eng_199512.gz"
"42196"	"it"	"fell"	" When he quit, it fell, wiping out more than $1 billion from the company's market value. The drop in Citicorp stock right after today's announcement lowered the market capitalization by about $400 million. </P> "	"nyt_eng_199512.gz"
"43890"	"I"	"fell"	" ``The first time I did, I fell, and it hurt all over,'' the 29-year-old said in French, before dissolving into Dioula, a West African trading language, to crack jokes with Miss Toure. </P> "	"nyt_eng_199512.gz"
"43962"	"they"	"fell"	" Goldinger is believed to have used futures and options to bet interest rates would rise this year. Instead, they fell, producing a loss of $20 million for Pier 1 and $15.9 million for PairGain. </P> "	"nyt_eng_199512.gz"
"43966"	"they"	"fell"	" Goldinger is believed to have used futures and options to bet interest rates would rise this year. Instead, they fell, producing a loss of $20 million for Pier 1 and $15.9 million for PairGain. </P> "	"nyt_eng_199512.gz"
"109773"	"we"	"fell"	" ``We were standing and talking when I saw someone in a black jacket walk up and stop two or three meters from us,'' said Nir Shapira, 18, one of the high-school students, who was shot in his side but escaped with light wounds. ``He pulled out a gun from his jacket and began shooting. He shot the three of us, we fell, and I began holding my side, where I was shot. I was sure I had been hit in the heart. </P> "	"nyt_eng_200203.gz"
"173236"	"she"	"fell"	" When Pillco struck back, she fell, banging her head and losing consciousness. Then, Pillco took her into the bathroom and used a bedsheet to hang her, the official said. He tries to stage this thing because he is trying to make it go away, the official said. </P> "	"nyt_eng_200611.gz"
