"pronoun"	"verb"	"context"	"filename"
"132"	"he"	"explained"	" Although Ford Reward will make loans as small as $10,000, Hanysak of Ford said that most loans would be $40,000 to $60,000. Many will go to consumers who already have second mortgages on their home, he explained, and want to borrow up to 90 percent of their home's value, a larger portion than most lenders allow. Hence, higher rates for higher risk. </P> "	"nyt_eng_199407.gz"
"170"	"he"	"explained"	" Although Ford Reward will make loans as small as $10,000, Hanysak of Ford said that most loans would be $40,000 to $60,000. Many will go to consumers who already have second mortgages on their home, he explained, and want to borrow up to 90 percent of their home's value, a larger portion than most lenders allow. Hence, higher rates for higher risk. </P> "	"nyt_eng_199407.gz"
"183"	"he"	"explained"	" While there is no way to stop the body's production of free radicals, he explained, human cells are replete with enzymes that block their damaging effects. These innate antioxidant defenses, he said, are bolstered by antioxidant nutrients like vitamin C, vitamin E and carotenoids in fruits and vegetables, which can suppress all stages of the cancer process. </P> "	"nyt_eng_199407.gz"
"445"	"he"	"explained"	" Meanwhile, he explained, he kept buying things. </P> "	"nyt_eng_199407.gz"
"471"	"he"	"explained"	" Picking his spot, Piniella walked toward the umpire and, along the way, carefully dropped his cap in the on-deck circle. The cap, he explained, was to be part of his finale. ``I was going to kick the hat into the stands and the people would fight for it,'' he said. </P> "	"nyt_eng_199407.gz"
"570"	"he"	"explained"	" ``We found that when cells are treated with either chemotherapy or radiation, if p53 is functional, the cells essentially commit suicide,'' Housman said. The cancer treatments severely damage the cells' DNA, he explained, and that damage signals the cells to kill themselves. But if the p53 gene is mutated, the cells ignore their damaged DNA and keep on growing, the investigators found. </P> "	"nyt_eng_199407.gz"
"1012"	"he"	"explained"	" Ethically, it would be easier to justify the baboon experiment for someone who was dying of AIDS than for an otherwise healthy HIV-infected individual because the experiment could cause an earlier death, Fauci said. When faced with such a dilemma, he explained, scientists tend to offer the experiment first to those who are close to death. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940718.0314 type=story > <HEADLINE> IN MANY AREAS, THE OLD-FASHIONED DRIVE-IN NOT ONLY SURVIVES BUT PROSPERS </HEADLINE> <DATELINE>  (BC-DRIVE-IN-DEVOTEES-NYT) </DATELINE> <TEXT> "	"nyt_eng_199407.gz"
"1302"	"she"	"explained"	" ``Those numbers are insignificant,'' she said. ``We believe the great majority of the cases are boilerplate cases perpetuated through fraud.'' A boilerplate case, she explained, is the name given to scams by people who promise INS work permits to illegal immigrants for fees. Bogus asylum claims are then filed with the INS, allowing immigrants to obtain permits and work in the United States for years while their claims are being processed. </P> "	"nyt_eng_199407.gz"
"1547"	"he"	"explained"	" It will be fully interactive, he explained, and have a nonlinear storyline, allowing the listener to ``approach the thing again and again and never go through the same experience.'' </P> "	"nyt_eng_199407.gz"
"1792"	"he"	"explained"	" When the tape ended, Zobrist explained why the presidential seal in the carpet and the one inscribed directly above in the room's white ceiling was different. During Truman's presidency, he explained, the seal was changed so that the eagle looks toward the olive branch instead of the cluster of arrows. </P> "	"nyt_eng_199407.gz"
"1859"	"he"	"explained"	" To illustrate the form of a sonata -- statement, fantasia, restatement -- he asked children how they would tell a story about buying a hamster at a shopping mall. ``You wouldn't just say: `I was at the mall. I bought a hamster.','' Marsalis said. ``That's not good storytelling because there's not enough story there.'' Details, he explained, bring a story alive. ``In music, to give a better description of themes,'' he said, ``we stretch and play with them on different instruments, change them in some way while keeping their original character.'' </P> "	"nyt_eng_199408.gz"
"2382"	"he"	"explained"	" ``The bidding usually starts at $50,'' he explained. Chris then said that he'll provide me with a Buyer's Guide to government auctions. ``You'll get a catalog every two weeks.'' The Buyer's Guide, he explained, cost $54.95, despite the fact that the same information is available for free by directly contacting the various government agencies that hold auctions. </P> "	"nyt_eng_199408.gz"
"2496"	"he"	"explained"	" After reading that Bonilla, the Mets' third baseman, would lose more than $31,000 in salary for every day of a baseball players' strike, a New York-area restaurant owner offered to pay Bonilla $12,000 a week to act as host at his business. Just a little extra cash, he explained, in case Bonilla needed something to tide him over. </P> "	"nyt_eng_199408.gz"
