"pronoun"	"verb"	"context"	"filename"
"24235"	"I"	"supposed"	" ``You can judge the sentiments of the country by who you can confidently make fun of,'' said Rossio. ``Nowadays the ultimate villain, I supposed, would be a fat, white male terrorist who ran a Fortune 500 company on the side.'' </P> "	"nyt_eng_199506.gz"
"24699"	"I"	"supposed"	" ``You can judge the sentiments of the country by who you can confidently make fun of,'' said Rossio. ``Nowadays the ultimate villain, I supposed, would be a fat, white male terrorist who ran a Fortune 500 company on the side.'' </P> "	"nyt_eng_199506.gz"
"24846"	"I"	"supposed"	" ``You can judge the sentiments of the country by who you can confidently make fun of,'' said Rossio. ``Nowadays the ultimate villain, I supposed, would be a fat, white male terrorist who ran a Fortune 500 company on the side.'' </P> "	"nyt_eng_199506.gz"
"34646"	"he"	"supposed"	" One man was arrested when he went to a shopping mall for a rendezvous with, he supposed, a 14-year-old girl with the playful computer name ``One4fun4u'' _ who turned out to be a federal agent. </P> "	"nyt_eng_199509.gz"
"34647"	"he"	"supposed"	" One man was arrested when he went to a shopping mall for a rendezvous with, he supposed, a 14-year-old girl with the playful computer name ``One4fun4u'' _ who turned out to be a federal agent. </P> "	"nyt_eng_199509.gz"
"34883"	"he"	"supposed"	" One man was arrested when he went to a shopping mall for a rendezvous with, he supposed, a 14-year-old girl with the playful computer name ``One4fun4u'' _ who turned out to be a federal agent. </P> "	"nyt_eng_199509.gz"
"34885"	"he"	"supposed"	" One man was arrested when he went to a shopping mall for a rendezvous with, he supposed, a 14-year-old girl with the playful computer name ``One4fun4u'' _ who turned out to be a federal agent. </P> "	"nyt_eng_199509.gz"
"43416"	"she"	"supposed"	" My friend said it was a good thing, she supposed, that her husband had returned. At least their son was happy to have his father back. Though the separation had renewed her husband's zeal for marriage, she had no interest in matching him. </P> "	"nyt_eng_199512.gz"
"43417"	"she"	"supposed"	" My friend said it was a good thing, she supposed, that her husband had returned. At least their son was happy to have his father back. Though the separation had renewed her husband's zeal for marriage, she had no interest in matching him. </P> "	"nyt_eng_199512.gz"
"45081"	"I"	"supposed"	" Suppose, I supposed, that back in September I had wanted to place a bet on Northwestern getting to the Rose Bowl and Indianapolis getting to the Super Bowl. </P> "	"nyt_eng_199601.gz"
"46553"	"I"	"supposed"	" After a few minutes of strolling through the corridors between vacant office cubicles, I realized I was smack in the middle of the Pentium Pro design lab. With the chip complete, I supposed, most of the engineers must have been re-deployed onto the next processor design team. In retrospect, however, they were all probably taking some long-overdue time off. </P> "	"nyt_eng_199601.gz"
"46676"	"I"	"supposed"	" After a few minutes of strolling through the corridors between vacant office cubicles, I realized I was smack in the middle of the Pentium Pro design lab. With the chip complete, I supposed, most of the engineers must have been re-deployed onto the next processor design team. In retrospect, however, they were all probably taking some long-overdue time off. </P> "	"nyt_eng_199601.gz"
"46937"	"I"	"supposed"	" After a few minutes of strolling through the corridors between vacant office cubicles, I realized I was smack in the middle of the Pentium Pro design lab. With the chip complete, I supposed, most of the engineers must have been re-deployed onto the next processor design team. In retrospect, however, they were all probably taking some long-overdue time off. </P> "	"nyt_eng_199601.gz"
"90240"	"I"	"supposed"	" And so I did, boarding a train for Berlin, where a wall ran straight through the heart of town, making East Berliners outsiders in much of their very own city. Within a month, perhaps, Luzifer would be back at work carving tombstones for the living world's ultimate outsiders. And soon enough, I supposed, our friend Nobody would be among them _ though when I think of him now, I like to imagine him kicking back in Nice, lifting his doughy face _ toothless grin and all _ toward the warm Mediterranean sun. </P> "	"nyt_eng_200104.gz"
"155343"	"I"	"supposed"	" I feel with putting better and with my life better, I supposed, sorted out, that I can contend in this championship, wherever it might be, Monty said. </P> "	"nyt_eng_200507.gz"
