"pronoun"	"verb"	"context"	"filename"
"997"	"he"	"speculated"	" Then again, he speculated, some of the younger whales may know the nets are there but get tangled up playing with them. ``Many are young fellows who, like all teen-agers, are venturesome and like to play with anything,'' he said. </P> "	"nyt_eng_199407.gz"
"5967"	"he"	"speculated"	" Virginia has a history of successful independents, including the late Sen. Harry Byrd, to give Coleman encouragement. It might even be possible, he speculated, for Robb to fade in the closing weeks and the race to end up as a contest between him and North. </P> "	"nyt_eng_199410.gz"
"6848"	"he"	"speculated"	" ``That's an excellent question,'' Sanders said. He noted that Chinese restaurants don't typically offer knives to customers. Hence, he speculated, it's possible the knife was formerly used -- and repeatedly washed, given heavy use by customers -- at a restaurant that serves both Chinese- and American-style food. </P> "	"nyt_eng_199410.gz"
"6854"	"he"	"speculated"	" ``That's an excellent question,'' Sanders said. He noted that Chinese restaurants don't typically offer knives to customers. Hence, he speculated, it's possible the knife was formerly used -- and repeatedly washed, given heavy use by customers -- at a restaurant that serves both Chinese- and American-style food. </P> "	"nyt_eng_199410.gz"
"7819"	"they"	"speculated"	" Last week theorists got more perplexing news and were talking more openly about the theoretical beauties of the cosmological constant. Einstein, they speculated, might have been right after all, though for the wrong reasons. </P> "	"nyt_eng_199410.gz"
"8626"	"he"	"speculated"	" Or maybe, he speculated, the drivers have early-morning deliveries in New York City, Newark, or Jersey City and prefer to spend the night sleeping beside an interstate in the countryside instead of on an urban street. </P> "	"nyt_eng_199411.gz"
"14548"	"they"	"speculated"	" As the meeting progressed, there was a consensus among the militia members that authorities will soon launch house-to-house searches to seize personal weapons. Most likely, they speculated, a federal or state agency will fake a chemical spill or a drug raid to order a general evacuation, seal off areas and confiscate guns. </P> "	"nyt_eng_199502.gz"
"14549"	"they"	"speculated"	" As the meeting progressed, there was a consensus among the militia members that authorities will soon launch house-to-house searches to seize personal weapons. Most likely, they speculated, a federal or state agency will fake a chemical spill or a drug raid to order a general evacuation, seal off areas and confiscate guns. </P> "	"nyt_eng_199502.gz"
"18724"	"they"	"speculated"	" Contaminating materials, they speculated, might have been airborne, or transferred as coroners removed the bodies from the scene, or even carried by Dennis Fung, the chief criminalist on the case and the man on the stand Wednesday. </P> "	"nyt_eng_199504.gz"
"20316"	"he"	"speculated"	" In addition to direct warming of the surface, he proposed that hot plumes might alter deep currents to affect surface temperatures. Another indirect mechanism was that the nutrient value of the minerals in hot plumes might prompt prolific growths of microscopic sea creatures that would rise to the surface or whose body parts would rise. This biological matter, he speculated, could make surface waters more opaque and increasingly prone to soak up the abundant heat of sunlight. </P> "	"nyt_eng_199504.gz"
