"pronoun"	"verb"	"context"	"filename"
"415"	"he"	"contended"	" Rather than compare their performance with an industry standard, he contended, companies should measure themselves against other companies. ``There's a selection process in any industry,'' he said. ``Those with the most cost-effective ways of producing and with the best product are going to do well even if the industry isn't.'' </P> "	"nyt_eng_199407.gz"
"1224"	"he"	"contended"	" There were astronomical telephone bills by building employees for calls to places like Dial-a-Date. There were, he contended, scores of invoices -- for cleaning supplies, construction material -- approved by Brown, Harris that had the itemized costs blacked out. </P> "	"nyt_eng_199407.gz"
"1727"	"he"	"contended"	" Habubi, a French-trained engineer who wears an olive green military uniform as do all high officials of the ruling Baathist Party, appeared confident that the oil embargo would be lifted by early 1995 at the latest. The Security Council would act, he contended, because Iraq was fully complying with its demands. </P> "	"nyt_eng_199407.gz"
"2715"	"they"	"contended"	" That, they contended, may be why on Friday, in a two-paragraph letter to the judge, the office of the U.S. attorney, Mary Jo White, said it had decided not to enter into a ``cooperation agreement'' with the defendant, Siddig Ibrahim Siddig Ali. </P> "	"nyt_eng_199408.gz"
"5786"	"he"	"contended"	" McGough noted that Washington state law already allows withdrawal of life support for competent, terminally ill patients. But assisted suicide is a major step beyond this, he contended, because it puts the physician in the awkward and potentially abusive position of deciding when to end a life. </P> "	"nyt_eng_199409.gz"
"6371"	"he"	"contended"	" He said Cuomo's proposal for sentences of life without parole for three-time felons would be a ``perverse incentive'' for murder without capital punishment. Two-time felons, he contended, would be more likely to kill a police officer rather than face capture and life behind bars. ``You have to couple three-strikes-and-you're-in with the death penalty,'' he said. </P> "	"nyt_eng_199410.gz"
"6765"	"he"	"contended"	" He argued that he had already cut billions in waste from the state's budget and even more would be cut if voters passed a proposition he supports to deny most welfare benefits to illegal immigrants. Ms. Brown, he contended, was as ``soft'' on the immigration issue as on the crime issue. </P> "	"nyt_eng_199410.gz"
"9184"	"he"	"contended"	" -- Bus contracts for the children be competitively bid. Currently, the contracts are negotiated with companies that already have routes. The move, he contended, would save at least $28 million a year. </P> "	"nyt_eng_199411.gz"
"9499"	"he"	"contended"	" He argued that since write-ins are permitted, the measure is not an ``absolute handicap'' to incumbents. Rather, he contended, a term limit is closer to a time-place-and-manner restriction -- permitted by the Constitution -- than a candidate qualification -- severely limited by the Constitution. </P> "	"nyt_eng_199411.gz"
"11021"	"he"	"contended"	" Quality control was further compromised, he contended, because test samples were being drawn haphazardly rather than at the beginning, middle and end of production runs, as the FDA insists. </P> "	"nyt_eng_199412.gz"
"11117"	"he"	"contended"	" The high numbers, he contended, are derived by astronomers who use a higher estimate for the velocity of the Virgo Cluster's core, independent of local motions. Only a small reduction in that estimate, which he said was justifiable, ``removes this one source of the difference between our results and others,'' he said. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19941226.0132 type=story > <DATELINE>  (BC-UNIVERSE-AGE-3RDTAKE-NYT) </DATELINE> <TEXT> "	"nyt_eng_199412.gz"
"11252"	"he"	"contended"	" But in the latter half of the 20th century, he contended, ``a broadened concept of freedom requires that every American have the right to a healthy body, a full education, a decent home and the opportunity to develop to the best of his talents.'' </P> "	"nyt_eng_199412.gz"
"13103"	"he"	"contended"	" Treffinger said the 1995 deficit had ballooned to $161.5 million because he had been forced to come up with money for bills that Democratic officials, he contended, had repeatedly put off paying. That spending included millions of dollars in contributions to litigation and worker's compensation funds, he said. The 1995 deficit also includes a $35.5 million shortfall left from 1994. </P> "	"nyt_eng_199501.gz"
"13124"	"he"	"contended"	" Cochran reviewed evidence which, he contended, pointed to a welter of evidence pointing to Simpson's innocence and someone else's complicity. </P> "	"nyt_eng_199501.gz"
"13660"	"she"	"contended"	" Yet Ms. Jones refused to blame the director, Adrian Lyne, for the casting choice. Movie customers, she contended, have given up rooting for the underdog. ``The American audience doesn't feel ambiguous about money at all,'' she said. ``They always want the rich guy to get the girl.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950201.0031 type=story > <DATELINE>  (BC-NEWS-QUESTIONS-(3takes)-COX) </DATELINE> <TEXT> "	"nyt_eng_199502.gz"
"14056"	"he"	"contended"	" ``We believe we could get through '95 without any serious impact'' by dipping into a $1.7 billion reserve for capital projects, said Peter E. Stangl, the agency's chairman. But if the governor did not allow borrowing to resume next year, he contended, the effects on the mass transit improvements throughout the region could be dire. </P> "	"nyt_eng_199502.gz"
"14355"	"he"	"contended"	" Such a situation cannot be sustained indefinitely, he contended, predicting some combination of lower profits and higher prices. Lower profits would be bad for stocks; higher prices would help drive down bond prices. </P> "	"nyt_eng_199502.gz"
"15467"	"she"	"contended"	" That angle, she contended, distorted the picture, giving jurors a false impression that officials may have been stepping in bloody areas when, in fact, the placement of their feet is not displayed in most shots. </P> "	"nyt_eng_199502.gz"
"17152"	"he"	"contended"	" The OutRage! campaign was successful, he contended, because it is effectively determining the policy of the Church of England on homosexuality. ``We are setting the agenda.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950318.0136 type=story > <HEADLINE> PETE WILSON LAYS GROUNDWORK FOR A PRESIDENTIAL CAMPAIGN </HEADLINE> <DATELINE> SACRAMENTO, Calif.  (BC-WILSON-CANDIDACY-ART-525&AMP;ADD-NYT) </DATELINE> <TEXT> "	"nyt_eng_199503.gz"
