"pronoun"	"verb"	"context"	"filename"
"28217"	"he"	"ventured"	" General Groves tried to put a benign face on the bomb. He told a congressional committee that he had been told by doctors that radiation poisoning did not cause undue suffering. In fact, he ventured, it was ``a very pleasant way to die.'' </P> "	"nyt_eng_199507.gz"
"28223"	"he"	"ventured"	" General Groves tried to put a benign face on the bomb. He told a congressional committee that he had been told by doctors that radiation poisoning did not cause undue suffering. In fact, he ventured, it was ``a very pleasant way to die.'' </P> "	"nyt_eng_199507.gz"
"28293"	"he"	"ventured"	" General Groves tried to put a benign face on the bomb. He told a congressional committee that he had been told by doctors that radiation poisoning did not cause undue suffering. In fact, he ventured, it was ``a very pleasant way to die.'' </P> "	"nyt_eng_199507.gz"
"28299"	"he"	"ventured"	" General Groves tried to put a benign face on the bomb. He told a congressional committee that he had been told by doctors that radiation poisoning did not cause undue suffering. In fact, he ventured, it was ``a very pleasant way to die.'' </P> "	"nyt_eng_199507.gz"
"31177"	"I"	"ventured"	" The media, I ventured, may not be hugely popular with the public anyway. </P> "	"nyt_eng_199508.gz"
"114886"	"he"	"ventured"	" What they all admired, he ventured, was Fortuyn's courage to put his finger on problems, provoking a search for solutions, while the political establishment busied itself with trade-offs. </P> "	"nyt_eng_200205.gz"
"140344"	"he"	"ventured"	" There was no question in the mind of Medical City's general director, Dr. Ameir al-Mukhtar, that insurgents had fired at the 22-story, 700 bed hospital. Perhaps, he ventured, it was chosen as an arm of a government that the insurgency accuses of collaborating with the Americans. Perhaps it was because it housed volunteers from the Italian Red Cross. Italy is a member of the U.S.-led military coalition in Iraq. </P> "	"nyt_eng_200407.gz"
"140360"	"he"	"ventured"	" There was no question in the mind of Medical City's general director, Dr. Ameir al-Mukhtar, that insurgents had fired at the 22-story, 700 bed hospital. Perhaps, he ventured, it was chosen as an arm of a government that the insurgency accuses of collaborating with the Americans. Perhaps it was because it housed volunteers from the Italian Red Cross. Italy is a member of the U.S.-led military coalition in Iraq. </P> "	"nyt_eng_200407.gz"
"165286"	"he"	"ventured"	" However disappointing the outcome of the $2.4 million project was to the researchers and their sponsor, the John Templeton Foundation, most believers are likely to remain unfazed. One of the co-authors of the study, Dean Marek, a chaplain at the Mayo Clinic in Rochester, Minn., noted that the study involved people praying for patients they did not know. Personal prayers and those from loved ones, he ventured, may prove more powerful. As he told a New York Times reporter, You hear tons of stories about the power of prayer, and I don't doubt them. That is all the evidence most believers would require. </P> "	"nyt_eng_200604.gz"
"167563"	"I"	"ventured"	" As we trudged glumly out of the square, I told the man next to me how much I appreciated the support for the American team. Maybe, I ventured, they'd do better in their next game. </P> "	"nyt_eng_200606.gz"
