"pronoun"	"verb"	"context"	"filename"
"436"	"it"	"does"	" ``It embarrasses me, it does,'' said Recreation and Park General Manager Mary Burns. Burns said of the current situation. ``Union Square ought to match the elegance of what surrounds it. That place should be a real eye-catcher.'' </P> "	"nyt_eng_199407.gz"
"438"	"it"	"does"	" ``It embarrasses me, it does,'' said Recreation and Park General Manager Mary Burns. Burns said of the current situation. ``Union Square ought to match the elegance of what surrounds it. That place should be a real eye-catcher.'' </P> "	"nyt_eng_199407.gz"
"5659"	"he"	"does"	" ``My scenario for this book is a man is diagnosed with prostate cancer in the afternoon, his urologist tells him to read this book, he does, and by evening he feels much better.'' </P> "	"nyt_eng_199409.gz"
"5662"	"he"	"does"	" ``My scenario for this book is a man is diagnosed with prostate cancer in the afternoon, his urologist tells him to read this book, he does, and by evening he feels much better.'' </P> "	"nyt_eng_199409.gz"
"6006"	"it"	"does"	" ``Yes, it does,'' he said, ``but it's not a bad thing. If the union is concerned about implementation, the longer that's held off, the better off the players would be. They spent the summer saying they're on strike because we don't want implementation.'' </P> "	"nyt_eng_199410.gz"
"11301"	"it"	"does"	" Now the honeymoon is over, if you can call it that. The intoxication of a season of dealing not with Jerry Glanville, but with June Jones, has passed. While 7-9 can hardly be dubbed euphoric, it does, nevertheless, represent a higher standard of living, even when one narrows it down to the one final yard that made it possible. It was a yard not negotiated by an obscure running back wearing the apparel of the Arizona Cardinals, Ronald Moore by name. Do not expect to see Mr. Moore's bust occupying space in the Pro Football Hall of Fame. </P> "	"nyt_eng_199412.gz"
"13653"	"it"	"does"	" Like heck, it does, the running back reportedly replies. His mama has already purchased the plane ticket from Tulsa, Okla., to College Station. An argument unfolds. The oral commitment goes up in blazes. The youngster is supposed to sign with A&AMP;M on Wednesday by lunchtime. </P> "	"nyt_eng_199502.gz"
"14182"	"it"	"does"	" ``Obviously, it does,'' Mountain said. ``We've wanted to get this done since last June.'' </P> "	"nyt_eng_199502.gz"
"16459"	"it"	"does"	" ``We have this record of daily planetary temperatures taken from satellites that goes back to 1979, and we were just wondering how accurate it is. So we decided to see if it picks up the sunlight off the full moon ... and sure enough, it does,'' said Robert Balling, director of the university's Office of Climatology. His co-author on the paper is climatologist Randall Cerveny. </P> "	"nyt_eng_199503.gz"
"16680"	"it"	"does"	" ``Yeah, it does,'' said Marshall. ``But no one is going to say we can accept the losses because we don't like losses. And we all know that when you get to this time of the year, your next loss can be your last.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950313.0029 type=story > <HEADLINE> UCLA, UCONN CAN PULL THROUGH POTENTIAL STORMS </HEADLINE> <DATELINE>  (BC-BKC-NCAA WEST REGIONAL-BOS) </DATELINE> <TEXT> "	"nyt_eng_199503.gz"
