"pronoun"	"verb"	"context"	"filename"
"14401"	"he"	"wonders"	" It seems to him that Johnson left his estate in chaos intentionally. Why else, he wonders, would the artist have opened his safe deposit box two days before his death -- and then hidden the key? </P> "	"nyt_eng_199502.gz"
"14590"	"he"	"wonders"	" Does the country blame him, he wonders, for Ferguson's explanation that the real shooter stole his gun while he dozed on the train? For Ferguson's often obscure, sometimes harsh questioning of the survivors? Do people realize that although he offers Ferguson advice, Ferguson rarely follows it? </P> "	"nyt_eng_199502.gz"
"17370"	"she"	"wonders"	" ``Where is the public reaction to this?'' Langley asks. Could it be, she wonders, that we're all in shock? One week, orphanages. The next, take away school lunches. Now, scare people away from the courthouse. </P> "	"nyt_eng_199503.gz"
"18300"	"she"	"wonders"	" Mrs. Sakamoto wonders what little Tatsuhiko is like today, if he is still alive. Is he being given the drugs that the cult is accused of using on believers? And, she wonders, does he call ``Daddy'' a man who killed his real Daddy? </P> "	"nyt_eng_199503.gz"
"18464"	"she"	"wonders"	" Mrs. Sakamoto wonders what little Tatsuhiko is like today, if he is still alive. Is he being given the drugs that the cult is accused of using on believers? And, she wonders, does he call ``Daddy'' a man who killed his real Daddy? </P> "	"nyt_eng_199504.gz"
"19268"	"he"	"wonders"	" As Jimmy traverses Queens, he shares with his sullen or cringing passengers a warped world view that revolves, not surprisingly, around MTV. Is it a conspiracy, he wonders, that the names of so many artists played on MTV, like Madonna and Megadeth, begin with ``M''? Or perhaps it should be ``WTV,'' he declares, because he adores ``the women of MTV.'' </P> "	"nyt_eng_199504.gz"
"20827"	"she"	"wonders"	" But, she wonders, is it realistic to think in terms of ever achieving a society without the economic drag and souring promise of Social Security? </P> "	"nyt_eng_199504.gz"
"23348"	"she"	"wonders"	" Allende wastes no time with unnecessary words as she evokes wonderment and humor in one paragraph, tears in the next. She also shares an agonizing dilemma: Should she relinquish her spiritual ties to Paula that seem to keep the young woman breathing, but are unable to transform her vegetative state? Perhaps, she wonders, she ought to help her daughter die instead. It is as though Allende has opened her heart and allowed an audience to peer inside. </P> "	"nyt_eng_199505.gz"
"23728"	"he"	"wonders"	" But we began with a reference to the other guy's court, you may recall, which brings up the most interesting thing in Esquire this month, Ron Rosenbaum's ``The Revolt of the Basketball Liberals.'' It is an odd bit of business, at once glib and, however glancingly, profound. The profundity comes from Rosenbaum's eagerness to grapple with what remains, some 219 years after the Declaration of Independence put forth that ``all men are created equal,'' this country's most fundamental problem: race and its discontents. The grappling comes courtesy of Rosenbaum's enthusiasm for the National Basketball Association. That league's rosters are dominated by blacks. Of late (and this is what set him off), the NBA has been getting all sorts of bad press for its players' disagreeable behavior, and the media's hoop screams constitute the revolt in Rosenbaum's title. Can it be, he wonders, ``That what was really going on in the revolt of the Basketball Liberals was an emblematic moment: the collapse of the last attenuated remnant of the dream of integration''? </P> "	"nyt_eng_199505.gz"
"41428"	"he"	"wonders"	" Those contentions don't sit well with O'Dwyer, who played for Northwestern rather than ``football factories like Nebraska.'' Now, he wonders, will his mother have the wrong opinion of him. </P> "	"nyt_eng_199511.gz"
